step,wall_time,value
0,1782781154.4931023,0.0
1,1782781158.2480416,0.0
2,1782781163.5270736,0.0
3,1782781172.0634751,0.0
4,1782781177.111538,0.0
5,1782781180.893697,0.0
6,1782781185.1420627,0.0
7,1782781189.402049,0.0
8,1782781193.3966324,0.0
9,1782781198.2541814,0.0
10,1782781203.6467957,0.0
11,1782781208.498793,0.0
12,1782781210.9395576,0.0
13,1782781219.150247,0.0
14,1782781222.7421255,0.0
15,1782781228.487293,0.0
16,1782781240.9632258,0.0
17,1782781245.1592083,0.0
18,1782781252.9810498,0.0
19,1782781256.3870482,0.0
20,1782781261.1918814,0.0
21,1782781264.858737,0.0
22,1782781272.7077124,0.0
23,1782781276.5784562,0.0
24,1782781283.3071237,0.0
25,1782781288.5593507,0.0
26,1782781292.3376012,0.0
27,1782781295.2521882,0.0
28,1782781303.4935613,0.0
29,1782781306.2398424,0.0
30,1782781309.7095177,0.0
31,1782781314.6069925,0.0
32,1782781317.9611905,0.0
33,1782781325.2669268,0.0
34,1782781328.1382337,0.0
35,1782781338.179069,0.0
36,1782781342.5595224,0.0
37,1782781346.8219063,0.0
38,1782781351.2592506,0.0
39,1782781356.5502088,0.0
40,1782781359.6663473,0.0
41,1782781362.7108989,0.0
42,1782781366.8444042,0.0
43,1782781370.7511487,0.0
44,1782781374.6073742,0.0
45,1782781378.8965833,0.0
46,1782781382.5369713,0.0
47,1782781385.0604327,0.0
48,1782781388.861218,0.0
49,1782781392.4927201,0.0
50,1782781399.7941592,0.0
51,1782781404.732098,0.0
52,1782781410.1247194,0.0
53,1782781413.0078142,0.0
54,1782781417.175744,0.0
55,1782781420.5402484,0.0
56,1782781426.0863564,0.0
57,1782781437.498411,0.0
58,1782781446.2259123,0.0
59,1782781451.7512908,0.0
60,1782781460.3948035,0.0
61,1782781466.9182765,0.0
62,1782781470.045727,0.0
63,1782781477.8546824,0.0
64,1782781481.11596,0.0
65,1782781484.988842,0.0
66,1782781488.591202,0.0
67,1782781492.2470794,0.0
68,1782781496.3540435,0.0
69,1782781500.9333436,0.0
70,1782781504.531047,0.0
71,1782781512.21343,0.0
72,1782781520.00468,0.0
73,1782781522.7931077,0.0
74,1782781526.1628227,0.0
75,1782781529.2356777,0.0
76,1782781531.8039446,0.0
77,1782781536.3397338,0.0
78,1782781542.1032386,0.0
79,1782781546.8502362,0.0
80,1782781550.101272,0.0
81,1782781557.6233656,0.0
82,1782781563.6389015,0.0
83,1782781571.1982024,0.0
84,1782781576.293437,0.0
85,1782781580.7005942,0.0
86,1782781588.257438,0.0
87,1782781590.4741888,0.0
88,1782781596.1177673,0.0
89,1782781600.114577,0.0
90,1782781604.6061504,0.0
91,1782781609.701658,0.0
92,1782781612.2584982,0.0
93,1782781619.781422,0.0
94,1782781622.4086108,0.0
95,1782781627.7116363,0.0
96,1782781631.1856449,0.0
97,1782781639.305795,0.0
98,1782781643.300927,0.0
99,1782781647.4684517,0.0
100,1782781651.0904768,0.0
101,1782781659.0920043,0.0
102,1782781663.9194522,0.0
103,1782781666.669933,0.0
104,1782781674.7551405,0.0
105,1782781684.6679916,0.0
106,1782781687.983152,0.0
107,1782781692.2343152,0.0
108,1782781697.9519114,0.0
109,1782781701.7816088,0.0
110,1782781707.234293,0.0
111,1782781711.0329163,0.0
112,1782781712.760727,0.0
113,1782781715.179731,0.0
114,1782781718.2567217,0.0
115,1782781723.0812707,0.0
116,1782781727.3424246,0.0
117,1782781730.3785334,0.0
118,1782781732.5912445,0.0
119,1782781736.1939607,0.0
120,1782781740.6896071,0.0
121,1782781744.965409,0.0
122,1782781750.2508726,0.0
123,1782781752.69294,0.0
124,1782781755.919583,0.0
125,1782781757.9866564,0.0
126,1782781760.8047187,0.0
127,1782781765.608241,0.0
128,1782781771.1201339,0.0
129,1782781775.1122644,0.0
130,1782781777.4604642,0.0
131,1782781779.5349226,0.0
132,1782781783.75279,0.0
133,1782781785.0499966,0.0
134,1782781790.128548,0.0
135,1782781791.9336631,0.0
136,1782781795.4626281,0.0
137,1782781798.6347046,0.0
138,1782781799.9988434,0.0
139,1782781802.0926085,0.0
140,1782781805.9518077,0.0
141,1782781808.606376,0.0
142,1782781812.7428722,0.0
143,1782781815.319108,0.0
144,1782781817.4991267,0.0
145,1782781821.4455843,0.0
146,1782781823.2514296,0.0
147,1782781826.5974047,0.0
148,1782781828.7746258,0.0
149,1782781830.2166739,0.0
150,1782781831.7715535,0.0
151,1782781833.5393996,0.0
152,1782781838.4947872,0.0
153,1782781840.397845,0.0
154,1782781842.6076515,0.0
155,1782781846.04538,0.0
156,1782781847.8820527,0.0
157,1782781851.9481437,0.0
158,1782781853.876267,0.0
159,1782781857.2735236,0.0
160,1782781861.4852998,0.0
161,1782781865.4788597,0.0
162,1782781869.7950413,0.0
163,1782781874.349168,0.0
164,1782781877.5145667,0.0
165,1782781882.8316975,0.0
166,1782781884.374961,0.0
167,1782781893.9285004,0.0
168,1782781896.609369,0.0
169,1782781900.2338073,0.0
170,1782781904.8011088,0.0
171,1782781906.259926,0.0
172,1782781907.81918,0.0
173,1782781910.2474964,0.0
174,1782781911.5972035,0.0
175,1782781913.023483,0.0
176,1782781917.5390263,0.0
177,1782781922.0642765,0.0
178,1782781928.2184896,0.0
179,1782781930.0937102,0.0
180,1782781931.8646078,0.0
181,1782781934.0392475,0.0
182,1782781935.6130486,0.0
183,1782781939.941578,0.0
184,1782781945.1475947,0.0
185,1782781947.1280499,0.0
186,1782781950.287051,0.0
187,1782781955.1049364,0.0
188,1782781959.8894684,0.0
189,1782781961.6397474,0.0
190,1782781966.744238,0.0
191,1782781968.7833683,0.0
192,1782781970.613265,0.0
193,1782781971.980978,0.0
194,1782781976.597673,0.0
195,1782781979.1784747,0.0
196,1782781983.4223077,0.0
197,1782781986.8372006,0.0
198,1782781988.747998,0.0
199,1782781991.4957967,0.0
200,1782781993.5829563,0.0
201,1782781997.7238164,0.0
202,1782782000.2491748,0.0
203,1782782002.8494499,0.0
204,1782782007.5485854,0.0
205,1782782009.7096136,0.0
206,1782782011.7107377,0.0
207,1782782015.055411,0.0
208,1782782017.8711414,0.0
209,1782782019.6001303,0.0
210,1782782024.1740308,0.0
211,1782782026.2565455,0.0
212,1782782029.7941194,0.0
213,1782782036.2202024,0.0
214,1782782044.8618422,0.0
215,1782782046.6349232,0.0
216,1782782054.5634067,0.0
217,1782782057.865847,0.0
218,1782782060.9737415,0.0
219,1782782064.4569213,0.0
220,1782782067.8254797,0.0
221,1782782070.1075914,0.0
222,1782782075.117376,0.0
223,1782782077.3776593,0.0
224,1782782079.4366493,0.0
225,1782782089.111492,0.0
226,1782782094.9997094,0.0
227,1782782098.1378992,0.0
228,1782782101.8833392,0.0
229,1782782103.7017457,0.0
230,1782782105.8559184,0.0
231,1782782108.6901176,0.0
232,1782782113.0563574,0.0
233,1782782114.986368,0.0
234,1782782116.8347743,0.0
235,1782782118.899822,0.0
236,1782782120.5748754,0.0
237,1782782122.1020439,0.0
238,1782782127.0139875,0.0
239,1782782132.003354,0.0
240,1782782136.5897884,0.0
241,1782782138.5904741,0.0
242,1782782142.3296149,0.0
243,1782782144.3914523,0.0
244,1782782149.3877146,0.0
245,1782782151.3371305,0.0
246,1782782154.092607,0.0
247,1782782156.2171268,0.0
248,1782782158.1532505,0.0
249,1782782162.1131048,0.0
250,1782782164.8890462,0.0
251,1782782176.585052,0.0
252,1782782180.324228,0.0
253,1782782182.412593,0.0
254,1782782185.9060378,0.0
255,1782782191.153075,0.0
256,1782782193.523233,0.0
257,1782782202.0491464,0.0
258,1782782203.900448,0.0
259,1782782207.2015915,0.0
260,1782782221.48588,0.0
261,1782782225.2421067,0.0
262,1782782230.6580546,0.0
263,1782782243.9306803,0.0
264,1782782247.2434134,0.0
265,1782782249.3683486,0.0
266,1782782251.2366862,0.0
267,1782782253.3618498,0.0
268,1782782256.4482634,0.0
269,1782782262.6243088,0.0
270,1782782268.5024328,0.0
271,1782782272.7362616,0.0
272,1782782294.1228497,0.0
273,1782782304.202338,0.0
274,1782782306.6763747,0.0
275,1782782318.1846108,0.0
276,1782782320.8864243,0.0
277,1782782335.295487,0.0
278,1782782337.0985482,0.0
279,1782782340.3829496,0.0
280,1782782352.0453737,0.0
281,1782782356.081804,0.0
282,1782782357.670687,0.0
283,1782782371.4554796,0.0
284,1782782380.2441862,0.0
285,1782782387.6911774,0.0
286,1782782411.100177,0.0
287,1782782418.0469573,0.0
288,1782782420.1375296,0.0
289,1782782433.7518108,0.0
290,1782782436.601484,0.0
291,1782782441.7600043,0.0
292,1782782444.2057343,0.0
293,1782782449.188245,0.0
294,1782782454.0344265,0.0
295,1782782467.7074418,0.0
296,1782782486.302935,0.0
297,1782782490.2138548,0.0
298,1782782499.3741899,0.0
299,1782782507.4882843,0.0
300,1782782527.6404076,0.0
301,1782782532.9723155,0.0
302,1782782537.107999,0.0
303,1782782539.8067894,0.0
304,1782782541.9675121,0.0
305,1782782545.2341447,0.0
306,1782782549.002592,0.0
307,1782782554.5979316,0.0
308,1782782558.4972343,0.0
309,1782782563.641145,0.0
310,1782782566.4087527,0.0
311,1782782577.7116015,0.0
312,1782782583.9070868,0.0
313,1782782589.095519,0.0
314,1782782592.847634,0.0
315,1782782596.5475955,0.0
316,1782782601.921232,0.0
317,1782782607.9924667,0.0
318,1782782611.2763336,0.0
319,1782782613.6098907,0.0
320,1782782618.414236,0.0
321,1782782625.0149252,0.0
322,1782782627.3427823,0.0
323,1782782639.9745462,0.0
324,1782782646.8446097,0.0
325,1782782649.7030869,0.0
326,1782782654.828671,0.0
327,1782782657.2996168,0.0
328,1782782667.637063,0.0
329,1782782673.5418572,0.0
330,1782782676.6259458,0.0
331,1782782680.195433,0.0
332,1782782683.5655527,0.0
333,1782782695.2602139,0.0
334,1782782699.6917334,0.0
335,1782782703.5600815,0.0
336,1782782709.1734602,0.0
337,1782782714.6046073,0.0
338,1782782718.3086286,0.0
339,1782782724.2871225,0.0
340,1782782728.682067,0.0
341,1782782736.211441,0.0
342,1782782740.1071823,0.0
343,1782782742.3725052,0.0
344,1782782746.0437512,0.0
345,1782782747.9292538,0.0
346,1782782753.3581135,0.0
347,1782782757.0241344,0.0
348,1782782760.4286895,0.0
349,1782782762.0010092,0.0
350,1782782765.4924245,0.0
351,1782782770.1738746,0.0
352,1782782773.7132492,0.0
353,1782782784.6263213,0.0
354,1782782789.1033428,0.0
355,1782782793.1915538,0.0
356,1782782797.788231,0.0
357,1782782801.9025996,0.0
358,1782782805.9924111,0.0
359,1782782811.349389,0.0
360,1782782815.7553859,0.0
361,1782782819.5960088,0.0
362,1782782824.8005474,0.0
363,1782782830.3507035,0.0
364,1782782834.0156963,0.0
365,1782782840.5395598,0.0
366,1782782843.2912428,0.0
