step,wall_time,value
0,1782777126.0494142,0.0
1,1782777128.6984348,0.0
2,1782777131.643601,0.0
3,1782777140.9040177,0.0
4,1782777144.5256615,0.0
5,1782777148.4168909,-50.0
6,1782777153.9391353,-50.0
7,1782777158.4823515,0.0
8,1782777163.4633276,0.0
9,1782777168.2907512,0.0
10,1782777171.3748345,0.0
11,1782777178.0086763,-50.0
12,1782777182.8873386,-50.0
13,1782777185.0723164,0.0
14,1782777187.4647112,0.0
15,1782777193.0089493,0.0
16,1782777196.865653,0.0
17,1782777199.5006003,0.0
18,1782777201.6261601,0.0
19,1782777209.2624762,0.0
20,1782777214.6843941,0.0
21,1782777219.5905592,0.0
22,1782777223.7675433,-50.0
23,1782777239.6568155,0.0
24,1782777241.9020472,0.0
25,1782777247.9573057,-50.0
26,1782777250.0982454,0.0
27,1782777256.5211496,-50.0
28,1782777261.6671135,0.0
29,1782777264.559156,0.0
30,1782777271.4985447,0.0
31,1782777278.3118546,0.0
32,1782777284.4052913,-50.0
33,1782777291.3967428,-50.0
34,1782777294.523576,0.0
35,1782777298.2328422,0.0
36,1782777304.2457986,-50.0
37,1782777307.7246988,0.0
38,1782777310.7373407,0.0
39,1782777315.5330782,0.0
40,1782777319.0256443,0.0
41,1782777322.3018239,0.0
42,1782777329.0916843,0.0
43,1782777333.1362016,-50.0
44,1782777336.993765,-50.0
45,1782777340.4475367,0.0
46,1782777343.7418845,0.0
47,1782777351.395484,-50.0
48,1782777354.952493,0.0
49,1782777363.1050181,0.0
50,1782777368.0933015,0.0
51,1782777374.164461,0.0
52,1782777383.8604348,0.0
53,1782777386.539995,0.0
54,1782777391.0158982,0.0
55,1782777394.7532382,0.0
56,1782777398.466381,0.0
57,1782777401.5647695,-50.0
58,1782777406.2685392,0.0
59,1782777410.5065014,-50.0
60,1782777415.1977835,0.0
61,1782777418.666688,0.0
62,1782777422.8495193,0.0
63,1782777425.6760828,0.0
64,1782777430.218004,0.0
65,1782777434.679906,-50.0
66,1782777437.04958,0.0
67,1782777440.2852056,0.0
68,1782777445.9172091,-50.0
69,1782777452.3493786,0.0
70,1782777457.1973257,0.0
71,1782777463.6433125,-50.0
72,1782777466.225685,0.0
73,1782777472.9363253,0.0
74,1782777479.2276802,0.0
75,1782777483.2949274,-50.0
76,1782777489.439674,-50.0
77,1782777492.6895068,0.0
78,1782777496.6847346,0.0
79,1782777501.7480342,0.0
80,1782777505.5830014,0.0
81,1782777510.691713,0.0
82,1782777515.1412382,0.0
83,1782777520.188326,-50.0
84,1782777523.3402536,0.0
85,1782777528.6764832,0.0
