step,wall_time,value
0,1782872786.5003827,0.0
1,1782872790.5682292,-50.0
2,1782872794.8176074,0.0
3,1782872799.9820147,0.0
4,1782872814.5313897,0.0
5,1782872818.4528663,-50.0
6,1782872825.528848,0.0
7,1782872833.404322,0.0
8,1782872837.0995774,0.0
9,1782872842.885275,0.0
10,1782872849.6086283,-50.0
11,1782872853.4425313,-50.0
12,1782872858.5557618,0.0
13,1782872864.8568857,0.0
14,1782872868.833495,0.0
15,1782872879.0547473,0.0
16,1782872881.7847154,0.0
17,1782872889.802155,0.0
18,1782872892.754857,0.0
19,1782872896.0570264,0.0
20,1782872903.243209,-50.0
21,1782872908.501797,0.0
22,1782872911.536174,0.0
23,1782872914.5551126,0.0
24,1782872920.8076057,0.0
25,1782872924.5616586,0.0
26,1782872927.933214,0.0
27,1782872932.0884604,-50.0
28,1782872936.1253026,-50.0
29,1782872939.3981228,0.0
30,1782872944.804415,0.0
31,1782872952.7064676,0.0
32,1782872958.3406167,0.0
33,1782872967.34126,-50.0
34,1782872969.5326173,0.0
35,1782872976.098237,0.0
36,1782872981.7460308,0.0
37,1782872988.1130269,0.0
38,1782872991.4990597,0.0
39,1782872996.889409,0.0
40,1782873000.300557,0.0
41,1782873003.515332,0.0
42,1782873006.9555144,0.0
43,1782873014.4906847,0.0
44,1782873019.7607737,0.0
45,1782873025.0086436,0.0
46,1782873028.6864846,0.0
47,1782873032.2848277,0.0
48,1782873040.103731,-50.0
49,1782873042.9014316,0.0
50,1782873048.6937804,-50.0
51,1782873052.7815595,0.0
52,1782873060.4713893,0.0
53,1782873064.8370721,0.0
54,1782873070.5813625,0.0
55,1782873077.4890935,-50.0
56,1782873085.7782207,0.0
57,1782873090.3464897,0.0
58,1782873095.0527415,0.0
59,1782873103.1692913,0.0
60,1782873107.3584561,-50.0
61,1782873111.7491794,-50.0
62,1782873116.2650924,0.0
63,1782873119.2137482,0.0
64,1782873124.264074,0.0
65,1782873128.2530975,0.0
66,1782873132.1580462,0.0
67,1782873137.7465348,-50.0
68,1782873140.4793909,0.0
69,1782873143.3579082,0.0
70,1782873145.757962,0.0
71,1782873150.5421999,-50.0
72,1782873159.620688,0.0
73,1782873162.0776453,0.0
74,1782873166.456523,0.0
75,1782873169.8669374,0.0
76,1782873173.315199,0.0
77,1782873175.5396793,0.0
78,1782873177.748821,0.0
79,1782873179.9020207,0.0
80,1782873182.9501665,0.0
81,1782873187.855425,0.0
82,1782873191.7993398,0.0
83,1782873195.4968753,0.0
84,1782873199.2529762,0.0
85,1782873202.7265453,0.0
86,1782873209.504285,-50.0
87,1782873213.8386948,0.0
88,1782873217.3211467,0.0
89,1782873224.8616982,-50.0
90,1782873230.3327148,0.0
91,1782873233.8553858,0.0
92,1782873244.102962,0.0
93,1782873247.4527147,0.0
94,1782873253.0531855,-50.0
95,1782873255.3443308,0.0
96,1782873259.5569255,0.0
97,1782873271.9177935,0.0
98,1782873277.5208051,-50.0
99,1782873279.6512551,0.0
100,1782873284.602406,-50.0
101,1782873291.8071153,0.0
102,1782873295.40169,0.0
103,1782873300.503907,-50.0
104,1782873302.6067197,0.0
105,1782873306.005192,0.0
106,1782873309.0535886,0.0
107,1782873312.405466,0.0
108,1782873315.657237,0.0
109,1782873319.1543846,0.0
110,1782873324.2717817,0.0
111,1782873326.745754,0.0
112,1782873331.3736823,-50.0
113,1782873335.1201901,0.0
114,1782873339.5907404,0.0
115,1782873344.1026359,-50.0
116,1782873349.4574811,0.0
117,1782873351.6766706,0.0
118,1782873358.0227575,0.0
119,1782873362.6948369,-50.0
120,1782873369.3306644,0.0
121,1782873372.858058,0.0
122,1782873376.120939,0.0
123,1782873383.361172,0.0
124,1782873386.336931,0.0
125,1782873389.550678,0.0
126,1782873395.2472935,0.0
127,1782873401.800952,0.0
128,1782873404.2128077,0.0
129,1782873408.5206468,-50.0
130,1782873413.9561155,0.0
131,1782873418.3892326,-50.0
132,1782873423.9631126,0.0
133,1782873433.7631218,0.0
134,1782873437.4446173,0.0
135,1782873441.1770494,0.0
136,1782873443.312329,0.0
137,1782873445.8048484,0.0
138,1782873451.8462434,0.0
139,1782873456.2701933,0.0
140,1782873459.9028144,0.0
141,1782873465.144671,0.0
142,1782873468.35098,0.0
143,1782873476.526592,0.0
144,1782873481.3344839,0.0
145,1782873487.1187673,0.0
146,1782873491.900561,-50.0
147,1782873499.3525865,-50.0
148,1782873503.246319,0.0
149,1782873506.7407055,0.0
150,1782873509.081755,0.0
151,1782873516.7192032,-50.0
152,1782873523.488257,0.0
153,1782873528.4543178,-50.0
154,1782873530.9196732,0.0
155,1782873534.1503649,0.0
156,1782873537.3159,-50.0
157,1782873540.621924,0.0
158,1782873545.7031012,0.0
159,1782873548.1998212,0.0
160,1782873551.614069,0.0
161,1782873556.4219456,0.0
162,1782873567.427534,-50.0
163,1782873574.6511276,0.0
164,1782873579.4929042,0.0
165,1782873584.5832345,0.0
166,1782873590.205537,-50.0
167,1782873594.5543265,-50.0
168,1782873599.4559226,-50.0
169,1782873609.3107877,0.0
170,1782873613.7185261,0.0
171,1782873617.4004424,0.0
172,1782873622.4773734,0.0
173,1782873628.7031953,-50.0
174,1782873633.392883,-50.0
175,1782873636.5078237,0.0
176,1782873644.3534374,0.0
177,1782873650.6517866,0.0
178,1782873652.9560788,0.0
179,1782873655.12095,0.0
180,1782873657.6386817,0.0
181,1782873662.7488422,0.0
182,1782873666.0753577,0.0
183,1782873668.4411185,0.0
184,1782873671.3032405,0.0
185,1782873677.4574928,0.0
186,1782873683.492061,0.0
187,1782873686.6666126,0.0
188,1782873692.101477,-50.0
189,1782873694.8515346,0.0
190,1782873699.078269,0.0
191,1782873708.217228,0.0
192,1782873712.7760503,0.0
193,1782873717.7722802,-50.0
194,1782873722.4553785,-50.0
195,1782873728.2120056,0.0
196,1782873732.2937818,0.0
197,1782873734.9501925,0.0
198,1782873737.2958152,0.0
199,1782873740.7158103,0.0
200,1782873756.1613789,0.0
201,1782873759.337507,0.0
202,1782873763.1550648,0.0
203,1782873769.2538712,0.0
204,1782873775.9104848,-50.0
205,1782873784.7807956,0.0
206,1782873790.1574705,0.0
207,1782873794.5506887,-50.0
208,1782873802.0507843,0.0
209,1782873806.6425,0.0
210,1782873809.2412183,0.0
211,1782873819.0162184,0.0
212,1782873822.0499198,0.0
213,1782873829.0631714,0.0
214,1782873837.2529626,-50.0
215,1782873840.6123276,0.0
216,1782873851.3046129,-50.0
217,1782873855.3585896,-50.0
218,1782873863.5052524,0.0
219,1782873869.0529652,-50.0
220,1782873873.6552134,0.0
221,1782873879.936704,0.0
222,1782873887.5555997,-50.0
223,1782873893.1521022,0.0
224,1782873897.44219,-50.0
225,1782873901.3921688,0.0
226,1782873906.5354884,0.0
227,1782873909.3660927,0.0
228,1782873914.0992777,0.0
229,1782873929.3560505,0.0
230,1782873933.3448248,0.0
231,1782873935.9221804,0.0
232,1782873938.2246535,0.0
233,1782873950.6005583,0.0
234,1782873954.3311934,0.0
235,1782873957.5099313,0.0
236,1782873961.1633062,0.0
237,1782873965.7153263,0.0
238,1782873972.090218,0.0
239,1782873976.8406627,0.0
240,1782873980.722402,-50.0
241,1782873985.615555,-50.0
242,1782873989.7386484,-50.0
243,1782873993.878227,0.0
244,1782873998.800581,0.0
245,1782874001.8225312,0.0
246,1782874004.6296918,0.0
247,1782874010.8497458,0.0
248,1782874014.2377088,0.0
249,1782874018.1208532,0.0
250,1782874022.3954563,0.0
251,1782874030.2582672,0.0
252,1782874040.0315309,0.0
253,1782874043.2173347,0.0
254,1782874050.840918,0.0
255,1782874056.3299396,0.0
256,1782874058.6026385,0.0
257,1782874061.5862408,0.0
258,1782874065.5599575,-50.0
259,1782874069.1236775,0.0
260,1782874072.450014,0.0
261,1782874077.5354166,0.0
262,1782874082.10275,0.0
263,1782874086.130178,-50.0
264,1782874095.233631,0.0
265,1782874098.762245,0.0
266,1782874102.4012728,0.0
267,1782874110.9614007,0.0
268,1782874117.4520557,-50.0
269,1782874122.4190576,0.0
270,1782874127.1530151,-50.0
271,1782874136.4586453,-50.0
272,1782874139.389714,0.0
273,1782874145.9618278,-50.0
274,1782874149.8975873,-50.0
275,1782874155.9010005,0.0
276,1782874159.6129613,0.0
277,1782874168.2004273,0.0
278,1782874173.6513011,0.0
279,1782874176.0872052,0.0
280,1782874179.4265683,0.0
281,1782874187.6532745,-50.0
282,1782874192.2504892,0.0
283,1782874197.3982332,0.0
284,1782874208.6117458,0.0
285,1782874213.755537,0.0
286,1782874217.9973652,0.0
287,1782874226.2064378,0.0
288,1782874231.7841146,0.0
289,1782874235.2831802,0.0
290,1782874243.0952587,-50.0
291,1782874248.0398395,0.0
292,1782874251.975184,-50.0
293,1782874255.5138438,0.0
294,1782874268.8518667,-50.0
295,1782874271.3866127,0.0
296,1782874276.64093,0.0
297,1782874289.7152822,0.0
298,1782874293.5882359,-50.0
299,1782874303.5500922,0.0
300,1782874307.596273,0.0
301,1782874312.854496,-50.0
302,1782874319.9409373,-50.0
303,1782874324.7377012,0.0
304,1782874330.4054492,0.0
305,1782874335.9672496,0.0
306,1782874345.810173,0.0
307,1782874349.0277388,0.0
308,1782874352.4552104,0.0
309,1782874357.5692346,0.0
310,1782874364.4888415,0.0
311,1782874368.5111735,0.0
312,1782874374.3838105,0.0
313,1782874380.8032146,0.0
314,1782874384.3798287,0.0
315,1782874391.4044957,-50.0
316,1782874402.501562,0.0
317,1782874406.3574317,0.0
318,1782874409.947336,0.0
319,1782874415.43219,0.0
320,1782874420.9050095,0.0
321,1782874428.6505127,0.0
322,1782874431.3706994,0.0
323,1782874434.6478932,0.0
