step,wall_time,value
0,1782007312.4577615,0.0
1,1782007316.2767205,0.0
2,1782007321.2123256,0.0
3,1782007324.7245862,0.0
4,1782007329.8172753,0.0
5,1782007337.9229336,0.0
6,1782007342.068182,0.0
7,1782007347.8453276,0.0
8,1782007353.1714501,-30.0
9,1782007356.5678678,0.0
10,1782007360.3218305,0.0
11,1782007365.9703932,0.0
12,1782007372.5694711,-30.0
13,1782007378.791721,0.0
14,1782007382.9705849,0.0
15,1782007386.5374749,0.0
16,1782007392.4897864,0.0
17,1782007397.6679173,0.0
18,1782007402.7581782,0.0
19,1782007410.1333227,-30.0
20,1782007413.9059954,0.0
21,1782007417.4946597,0.0
22,1782007426.4503489,0.0
23,1782007430.4087846,0.0
24,1782007440.033175,0.0
25,1782007443.840835,0.0
26,1782007449.1413932,-30.0
27,1782007460.340253,0.0
28,1782007470.85297,0.0
29,1782007474.2891474,0.0
30,1782007485.6322715,0.0
31,1782007494.4111476,-30.0
32,1782007499.6720679,0.0
33,1782007503.1082342,0.0
34,1782007506.7647145,0.0
35,1782007510.3508658,0.0
36,1782007514.3546185,0.0
37,1782007519.2726765,0.0
38,1782007522.4723907,0.0
39,1782007530.310323,0.0
40,1782007533.6169126,0.0
41,1782007543.3538163,0.0
42,1782007561.237773,0.0
43,1782007567.4742386,0.0
44,1782007571.8109255,0.0
45,1782007575.9995193,0.0
46,1782007578.6144266,0.0
47,1782007583.2159896,0.0
48,1782007586.871206,-30.0
49,1782007590.4266598,-30.0
50,1782007596.7976868,0.0
51,1782007602.2055364,0.0
52,1782007607.4007926,0.0
53,1782007613.0692968,-30.0
54,1782007618.2413616,0.0
55,1782007625.077386,0.0
56,1782007630.708134,0.0
57,1782007635.183786,0.0
58,1782007643.2704802,-30.0
59,1782007645.761608,-30.0
60,1782007651.467393,-30.0
61,1782007657.2652462,-30.0
62,1782007660.4717274,0.0
63,1782007663.9436946,-30.0
64,1782007669.8305733,0.0
65,1782007673.0031586,0.0
66,1782007676.7472339,0.0
67,1782007681.8116755,0.0
68,1782007685.7306032,0.0
69,1782007689.4690287,0.0
70,1782007693.2894902,0.0
71,1782007697.343648,-30.0
72,1782007701.2559934,0.0
73,1782007704.9051976,-30.0
74,1782007707.5737555,0.0
75,1782007710.7256904,0.0
76,1782007714.579268,-30.0
77,1782007718.4523425,0.0
78,1782007720.976805,0.0
79,1782007725.0812097,0.0
80,1782007729.4142199,0.0
81,1782007732.0780814,0.0
82,1782007738.877031,-30.0
83,1782007742.3430228,-30.0
84,1782007746.570108,0.0
85,1782007748.9780722,0.0
86,1782007760.133313,-30.0
87,1782007763.7306345,-30.0
88,1782007775.5652285,0.0
89,1782007778.30918,0.0
90,1782007792.3838038,0.0
91,1782007796.2424839,-30.0
92,1782007799.869457,-30.0
93,1782007802.660936,0.0
94,1782007809.0431035,0.0
95,1782007812.5019612,0.0
96,1782007816.3229911,-30.0
97,1782007821.333107,0.0
98,1782007824.8438826,-30.0
99,1782007828.0580926,-30.0
100,1782007832.6870377,-30.0
101,1782007840.0773728,0.0
102,1782007844.8868303,0.0
103,1782007848.9419088,0.0
104,1782007853.021753,0.0
105,1782007857.1982536,0.0
106,1782007862.7172997,0.0
107,1782007866.763003,0.0
108,1782007870.0149624,0.0
109,1782007875.2200165,0.0
110,1782007877.3918426,0.0
111,1782007881.4319768,0.0
112,1782007886.126508,0.0
113,1782007889.4651556,0.0
114,1782007893.2020776,0.0
115,1782007898.7532957,-30.0
116,1782007902.732907,0.0
117,1782007911.5832775,0.0
118,1782007917.0939612,0.0
119,1782007928.1130304,0.0
120,1782007932.917307,0.0
121,1782007936.9000466,0.0
122,1782007946.4031696,-30.0
123,1782007953.7449796,0.0
124,1782007957.2165518,0.0
125,1782007962.3706713,0.0
126,1782007966.9260283,-30.0
127,1782007971.9368527,0.0
128,1782007975.6086767,-30.0
129,1782007985.7644444,0.0
130,1782007995.2149725,0.0
131,1782007998.6213999,0.0
132,1782008001.1291797,0.0
133,1782008005.4203753,0.0
134,1782008014.422168,-30.0
135,1782008018.0908027,0.0
136,1782008022.1982956,-30.0
137,1782008026.8898976,0.0
138,1782008032.4033172,-30.0
139,1782008034.779325,0.0
140,1782008040.6292973,0.0
141,1782008044.9196298,0.0
142,1782008057.3030865,-30.0
143,1782008059.8738742,0.0
144,1782008062.5221033,-30.0
145,1782008067.6171584,0.0
146,1782008071.627775,0.0
147,1782008075.4199505,0.0
148,1782008078.5166671,-30.0
149,1782008084.3253489,0.0
150,1782008089.215909,0.0
151,1782008092.0258558,0.0
