step,wall_time,value
0,1780540443.385678,0.0
1,1780540451.2924006,0.0
2,1780540455.5991979,0.0
3,1780540460.3589993,0.0
4,1780540466.8484437,0.0
5,1780540470.3114083,0.0
6,1780540479.5852294,0.0
7,1780540485.0031242,0.0
8,1780540495.574232,0.0
9,1780540499.5786335,0.0
10,1780540503.5339499,0.0
11,1780540506.767939,0.0
12,1780540512.5901084,0.0
13,1780540516.991561,0.0
14,1780540523.485462,0.0
15,1780540526.9292467,0.0
16,1780540532.318723,0.0
17,1780540539.8872068,0.0
18,1780540543.7286725,0.0
19,1780540547.6132655,0.0
20,1780540550.8652759,0.0
21,1780540554.477921,0.0
22,1780540560.778072,0.0
23,1780540576.2820358,0.0
24,1780540579.9903595,0.0
25,1780540582.4867468,0.0
26,1780540585.946889,0.0
27,1780540590.9580762,0.0
28,1780540596.3429146,0.0
29,1780540603.204035,0.0
30,1780540606.0575283,0.0
31,1780540608.4322796,0.0
32,1780540611.7566943,0.0
33,1780540615.6412964,0.0
34,1780540619.6938784,0.0
35,1780540623.6142437,0.0
36,1780540630.3969183,0.0
37,1780540634.2438023,0.0
38,1780540640.4548082,0.0
39,1780540647.1002865,0.0
40,1780540650.7782648,0.0
41,1780540659.1525006,0.0
42,1780540669.702659,0.0
43,1780540674.7872841,0.0
44,1780540678.2120323,0.0
45,1780540683.843859,0.0
46,1780540687.6330855,0.0
47,1780540690.92869,0.0
48,1780540695.0997934,0.0
49,1780540698.6399474,0.0
50,1780540706.896934,0.0
51,1780540710.1044555,0.0
52,1780540713.8749797,0.0
53,1780540716.2709,0.0
54,1780540719.2228944,0.0
55,1780540722.633042,0.0
56,1780540725.9542582,0.0
57,1780540729.432204,0.0
58,1780540733.2830002,0.0
59,1780540736.6345236,0.0
60,1780540743.051904,0.0
61,1780540749.6250062,0.0
62,1780540759.587465,0.0
63,1780540767.166565,0.0
64,1780540772.6294343,0.0
65,1780540776.7132745,0.0
66,1780540781.7855701,0.0
67,1780540787.0934956,0.0
68,1780540791.9494512,0.0
69,1780540797.5303986,0.0
70,1780540801.0327125,0.0
71,1780540811.4146485,0.0
72,1780540815.8788078,0.0
73,1780540819.4510427,0.0
74,1780540832.4425983,0.0
75,1780540838.6518075,0.0
76,1780540845.4533384,0.0
77,1780540850.6655385,0.0
78,1780540854.030772,0.0
79,1780540856.835047,0.0
80,1780540860.1685889,0.0
81,1780540866.3017943,0.0
82,1780540871.582537,0.0
83,1780540876.633736,0.0
