step,wall_time,value
0,1782007312.4571207,-35.0
1,1782007316.27588,-35.0
2,1782007321.211824,-35.0
3,1782007324.7189713,-35.0
4,1782007329.8116138,-35.0
5,1782007337.9225194,-35.0
6,1782007342.0678282,-35.0
7,1782007347.8447835,-35.0
8,1782007353.170892,0.0
9,1782007356.5673554,-35.0
10,1782007360.3212855,-35.0
11,1782007365.969868,-35.0
12,1782007372.569061,0.0
13,1782007378.791427,-35.0
14,1782007382.9701202,-35.0
15,1782007386.53696,-35.0
16,1782007392.4893584,-35.0
17,1782007397.6674047,-35.0
18,1782007402.752589,-35.0
19,1782007410.1327689,-35.0
20,1782007413.9054992,-35.0
21,1782007417.4939003,-35.0
22,1782007426.4498432,-35.0
23,1782007430.4083426,-35.0
24,1782007440.032599,-35.0
25,1782007443.8402908,-35.0
26,1782007449.1409411,0.0
27,1782007460.3396235,0.0
28,1782007470.8526015,-35.0
29,1782007474.2885957,-35.0
30,1782007485.6317232,-35.0
31,1782007494.4106102,0.0
32,1782007499.6716874,-35.0
33,1782007503.1068795,-35.0
34,1782007506.7642481,-35.0
35,1782007510.3449442,-35.0
36,1782007514.354163,-35.0
37,1782007519.2720554,-35.0
38,1782007522.4712088,-35.0
39,1782007530.309926,-35.0
40,1782007533.6163497,-35.0
41,1782007543.353353,-35.0
42,1782007561.2372804,-35.0
43,1782007567.473268,-35.0
44,1782007571.8102565,-35.0
45,1782007575.998917,-35.0
46,1782007578.6139472,-35.0
47,1782007583.2157266,-35.0
48,1782007586.8706214,-35.0
49,1782007590.426069,-35.0
50,1782007596.7971425,-35.0
51,1782007602.205,-35.0
52,1782007607.400501,-35.0
53,1782007613.0688784,0.0
54,1782007618.2409673,-35.0
55,1782007625.0769532,-35.0
56,1782007630.707661,-35.0
57,1782007635.1832185,-35.0
58,1782007643.270037,-35.0
59,1782007645.7610657,0.0
60,1782007651.4667096,0.0
61,1782007657.2648199,-35.0
62,1782007660.471151,-35.0
63,1782007663.9430306,-35.0
64,1782007669.8300388,-35.0
65,1782007673.0023031,-35.0
66,1782007676.746617,-35.0
67,1782007681.8108141,-35.0
68,1782007685.7300653,-35.0
69,1782007689.4686055,-35.0
70,1782007693.2888148,-35.0
71,1782007697.3430288,-35.0
72,1782007701.2554994,-35.0
73,1782007704.9048455,-35.0
74,1782007707.5731697,-35.0
75,1782007710.7253125,-35.0
76,1782007714.5784457,0.0
77,1782007718.4519606,-35.0
78,1782007720.976196,-35.0
79,1782007725.0807533,-35.0
80,1782007729.4138203,-35.0
81,1782007732.077615,-35.0
82,1782007738.876603,0.0
83,1782007742.3426356,-35.0
84,1782007746.5696857,-35.0
85,1782007748.977622,-35.0
86,1782007760.132786,0.0
87,1782007763.729847,-35.0
88,1782007775.5647159,-35.0
89,1782007778.308642,-35.0
90,1782007792.3831713,-35.0
91,1782007796.241941,-35.0
92,1782007799.8677282,-35.0
93,1782007802.660365,-35.0
94,1782007809.0415933,-35.0
95,1782007812.5012853,-35.0
96,1782007816.322492,-35.0
97,1782007821.3326344,-35.0
98,1782007824.843405,0.0
99,1782007828.0577188,-35.0
100,1782007832.6865146,0.0
101,1782007840.0766962,-35.0
102,1782007844.8864598,-35.0
103,1782007848.9412527,-35.0
104,1782007853.0211549,-35.0
105,1782007857.1975808,-35.0
106,1782007862.7169044,-35.0
107,1782007866.7627096,-35.0
108,1782007870.0145216,-35.0
109,1782007875.2195427,-35.0
110,1782007877.3913608,-35.0
111,1782007881.431381,-35.0
112,1782007886.1261196,-35.0
113,1782007889.464706,-35.0
114,1782007893.2016268,-35.0
115,1782007898.7528024,0.0
116,1782007902.7322097,-35.0
117,1782007911.582898,-35.0
118,1782007917.0934892,-35.0
119,1782007928.1126342,-35.0
120,1782007932.916802,-35.0
121,1782007936.8995416,-35.0
122,1782007946.4025433,0.0
123,1782007953.7445674,-35.0
124,1782007957.2160985,-35.0
125,1782007962.3702538,-35.0
126,1782007966.9252174,0.0
127,1782007971.9364922,-35.0
128,1782007975.6082268,-35.0
129,1782007985.763883,-35.0
130,1782007995.2145152,-35.0
131,1782007998.62065,-35.0
132,1782008001.128727,-35.0
133,1782008005.419892,-35.0
134,1782008014.4217448,-35.0
135,1782008018.0903788,-35.0
136,1782008022.1979136,-35.0
137,1782008026.8894794,-35.0
138,1782008032.4008977,-35.0
139,1782008034.7787538,-35.0
140,1782008040.6288974,-35.0
141,1782008044.9190998,-35.0
142,1782008057.3027828,0.0
143,1782008059.87344,-35.0
144,1782008062.5218077,0.0
145,1782008067.6165798,-35.0
146,1782008071.6273937,-35.0
147,1782008075.4195547,-35.0
148,1782008078.51624,0.0
149,1782008084.3249323,-35.0
150,1782008089.2154982,-35.0
151,1782008092.0254035,-35.0
152,1782008102.7128277,-35.0
153,1782008110.832406,-35.0
154,1782008115.7633543,-35.0
155,1782008120.0127132,-35.0
156,1782008125.0787985,-35.0
157,1782008134.172678,-35.0
158,1782008138.070438,-35.0
159,1782008142.509488,-35.0
160,1782008148.4291492,-35.0
161,1782008153.998692,-35.0
162,1782008156.4424403,-35.0
163,1782008161.5524392,-35.0
164,1782008163.997272,-35.0
165,1782008171.0938404,-35.0
166,1782008174.3238943,-35.0
167,1782008178.6552463,-35.0
168,1782008182.2749019,0.0
169,1782008185.829925,-35.0
170,1782008191.9783013,-35.0
171,1782008194.954659,-35.0
172,1782008197.7456868,-35.0
173,1782008206.1197772,0.0
174,1782008212.2139566,-35.0
175,1782008219.0746844,-35.0
176,1782008222.6806543,-35.0
177,1782008226.7113104,-35.0
178,1782008232.9262283,0.0
179,1782008237.3506298,-35.0
180,1782008249.9499838,-35.0
181,1782008254.3061647,-35.0
182,1782008260.2937393,-35.0
183,1782008264.379724,-35.0
184,1782008270.0024002,0.0
185,1782008278.556205,-35.0
186,1782008290.681313,0.0
187,1782008293.3228083,-35.0
188,1782008299.6578531,-35.0
189,1782008304.5228865,0.0
190,1782008309.670354,-35.0
191,1782008313.3087165,-35.0
192,1782008324.0158303,-35.0
193,1782008327.9298928,-35.0
194,1782008332.811252,-35.0
195,1782008336.7278802,-35.0
196,1782008339.9838817,-35.0
197,1782008345.964722,-35.0
198,1782008355.1565003,0.0
199,1782008369.017815,-35.0
200,1782008373.2613606,-35.0
201,1782008383.2046337,-35.0
202,1782008386.9003267,-35.0
203,1782008392.6139646,-35.0
204,1782008395.4152048,-35.0
205,1782008402.7605586,-35.0
206,1782008407.617297,-35.0
207,1782008412.9686694,-35.0
208,1782008416.0428066,-35.0
209,1782008422.3582304,-35.0
