step,wall_time,value
0,1782049025.5307095,0.0
1,1782049028.6937382,0.0
2,1782049033.6807704,0.0
3,1782049039.7638266,0.0
4,1782049044.5689337,0.0
5,1782049049.9869711,0.0
6,1782049053.755051,0.0
7,1782049056.129403,0.0
8,1782049064.9057355,0.0
9,1782049069.980129,0.0
10,1782049073.528607,0.0
11,1782049076.954659,0.0
12,1782049080.5186105,0.0
13,1782049085.9296765,0.0
14,1782049089.4503615,0.0
15,1782049092.4832096,0.0
16,1782049095.0643125,0.0
17,1782049099.4036617,0.0
18,1782049106.0202348,0.0
19,1782049112.165808,0.0
20,1782049117.6201053,0.0
21,1782049121.2895846,0.0
22,1782049123.61432,0.0
23,1782049126.5660186,0.0
24,1782049130.4193673,0.0
25,1782049133.6928952,0.0
26,1782049138.1697419,0.0
27,1782049142.2733743,0.0
28,1782049147.1853426,0.0
29,1782049150.4841394,0.0
30,1782049155.197618,0.0
31,1782049160.6173532,0.0
32,1782049163.1536915,0.0
33,1782049165.928523,0.0
34,1782049172.480815,0.0
35,1782049177.020926,0.0
36,1782049180.2537477,0.0
37,1782049182.494125,0.0
38,1782049192.0150888,0.0
39,1782049199.9768412,0.0
40,1782049206.2934365,0.0
41,1782049209.6100767,0.0
42,1782049214.8699908,0.0
43,1782049218.4506414,0.0
44,1782049226.6366336,0.0
45,1782049230.0849907,0.0
46,1782049232.778895,0.0
47,1782049235.2045133,0.0
48,1782049240.0822556,0.0
49,1782049243.398657,0.0
50,1782049250.218288,0.0
51,1782049256.2567022,0.0
52,1782049261.7805035,0.0
53,1782049271.231017,0.0
54,1782049274.0102751,0.0
55,1782049279.0678375,0.0
56,1782049283.5660625,0.0
57,1782049289.086347,0.0
58,1782049293.4840271,0.0
59,1782049298.689211,0.0
60,1782049305.0544276,0.0
61,1782049308.226491,0.0
62,1782049314.3485777,0.0
63,1782049317.8645477,0.0
64,1782049321.1873364,0.0
65,1782049326.9892492,0.0
66,1782049330.603339,0.0
67,1782049335.1832755,0.0
68,1782049338.9393306,0.0
69,1782049342.7158108,0.0
70,1782049349.1465878,0.0
71,1782049352.7245314,0.0
72,1782049356.196243,0.0
73,1782049360.5398262,0.0
74,1782049364.0191534,0.0
75,1782049369.0598538,0.0
76,1782049372.5294895,0.0
77,1782049375.3561234,0.0
78,1782049378.8534482,0.0
79,1782049382.6395557,0.0
80,1782049386.5097468,0.0
81,1782049392.5011055,0.0
82,1782049401.8521948,0.0
83,1782049409.5208294,0.0
84,1782049414.8807673,0.0
85,1782049422.8463116,0.0
86,1782049427.6897256,0.0
87,1782049435.9010496,0.0
88,1782049440.3357735,0.0
89,1782049446.0664275,0.0
90,1782049452.687072,0.0
91,1782049455.272992,0.0
92,1782049457.5169303,0.0
93,1782049461.0567174,0.0
94,1782049465.9700541,0.0
95,1782049468.432225,0.0
96,1782049472.942961,0.0
97,1782049479.0862288,0.0
98,1782049482.8614724,0.0
99,1782049485.6679268,0.0
100,1782049493.5807874,0.0
101,1782049497.5978262,0.0
102,1782049501.6493309,0.0
103,1782049505.1378772,0.0
104,1782049509.7150617,0.0
105,1782049512.7264893,0.0
106,1782049518.8781264,0.0
107,1782049522.0831754,0.0
108,1782049524.8433373,0.0
109,1782049537.6198697,0.0
110,1782049544.0149395,0.0
111,1782049547.7538989,0.0
112,1782049554.161511,0.0
113,1782049556.9927027,0.0
114,1782049564.6265287,0.0
115,1782049572.4441507,0.0
116,1782049581.6247418,0.0
117,1782049584.6840308,0.0
118,1782049593.3213596,0.0
119,1782049597.2809818,0.0
120,1782049600.8109,0.0
121,1782049604.4452496,0.0
122,1782049609.3044312,0.0
123,1782049613.7840154,0.0
124,1782049622.5030982,0.0
125,1782049629.7473056,0.0
126,1782049635.0456033,0.0
127,1782049640.7564404,0.0
128,1782049649.1797483,0.0
129,1782049654.7612693,0.0
130,1782049669.6530695,0.0
131,1782049673.166024,0.0
132,1782049678.0930529,0.0
133,1782049681.2768779,0.0
134,1782049684.3622732,0.0
135,1782049688.4635682,0.0
136,1782049693.6374083,0.0
137,1782049697.062267,0.0
138,1782049701.9808857,0.0
139,1782049704.2826962,0.0
140,1782049706.7281833,0.0
141,1782049710.6643567,0.0
142,1782049718.0771046,0.0
143,1782049722.6948814,0.0
144,1782049729.8589108,0.0
145,1782049735.5052638,0.0
146,1782049739.2259607,0.0
147,1782049745.402443,0.0
148,1782049747.7925813,0.0
149,1782049750.8692422,0.0
150,1782049754.646011,0.0
151,1782049759.7534595,0.0
152,1782049763.5785604,0.0
153,1782049770.9423282,0.0
154,1782049775.4672587,0.0
155,1782049782.801819,0.0
156,1782049786.5759366,0.0
157,1782049790.0330498,0.0
158,1782049796.218615,0.0
159,1782049799.759866,0.0
160,1782049803.042694,0.0
161,1782049806.7643354,0.0
162,1782049809.5416574,0.0
163,1782049818.0920463,0.0
164,1782049820.346359,0.0
165,1782049825.3068316,0.0
166,1782049828.6843493,0.0
167,1782049831.5541322,0.0
168,1782049837.2330105,0.0
169,1782049839.583301,0.0
170,1782049847.9533143,0.0
171,1782049851.6287885,0.0
172,1782049855.3423288,0.0
173,1782049858.7044535,0.0
174,1782049862.3969812,0.0
175,1782049870.1247778,0.0
176,1782049874.0909767,0.0
177,1782049876.6895618,0.0
178,1782049881.470902,0.0
179,1782049885.4069972,0.0
180,1782049889.3890991,0.0
181,1782049893.241635,0.0
182,1782049897.7528162,0.0
183,1782049900.8297627,0.0
184,1782049905.0699918,0.0
185,1782049907.484621,0.0
186,1782049909.6251354,0.0
187,1782049912.9337096,0.0
188,1782049918.130569,0.0
189,1782049923.7255404,0.0
190,1782049930.2846828,0.0
191,1782049933.8059804,0.0
192,1782049942.2443376,0.0
193,1782049945.660681,0.0
194,1782049948.8699737,0.0
195,1782049951.1588027,0.0
196,1782049958.5871904,0.0
197,1782049963.539383,0.0
198,1782049966.6267025,0.0
199,1782049970.2689261,0.0
200,1782049972.7033324,0.0
201,1782049980.5325632,0.0
202,1782049990.638351,0.0
203,1782049997.695568,0.0
204,1782050000.7802103,0.0
205,1782050008.8492856,0.0
206,1782050017.7013187,0.0
207,1782050025.684301,0.0
208,1782050028.559233,0.0
209,1782050039.2465167,0.0
210,1782050042.2347953,0.0
211,1782050046.6275816,0.0
212,1782050050.4788084,0.0
213,1782050054.987303,0.0
214,1782050059.2398243,0.0
215,1782050065.4955533,0.0
216,1782050078.3294241,0.0
217,1782050086.3434289,0.0
218,1782050091.8341904,0.0
219,1782050100.4425962,0.0
220,1782050105.0465024,0.0
221,1782050107.4908676,0.0
222,1782050111.180089,0.0
223,1782050115.8505998,0.0
224,1782050121.1913118,0.0
225,1782050125.0261471,0.0
226,1782050128.9049182,0.0
227,1782050131.7831395,0.0
228,1782050139.2746067,0.0
229,1782050145.1369452,0.0
230,1782050149.908284,0.0
231,1782050154.0284145,0.0
232,1782050157.5894861,0.0
233,1782050161.035248,0.0
234,1782050166.8820484,0.0
235,1782050174.9878206,0.0
236,1782050179.2379801,0.0
237,1782050184.561425,0.0
238,1782050189.887685,0.0
239,1782050192.7385638,0.0
240,1782050196.466305,0.0
241,1782050200.2566912,0.0
242,1782050205.3492208,0.0
243,1782050208.987689,0.0
244,1782050212.1799636,0.0
245,1782050215.9940681,0.0
246,1782050218.8363283,0.0
247,1782050232.243228,0.0
248,1782050235.7361157,0.0
249,1782050238.0870492,0.0
250,1782050240.8144996,0.0
251,1782050249.232631,0.0
252,1782050255.785317,0.0
253,1782050258.941094,0.0
254,1782050263.9729095,0.0
255,1782050268.8750343,0.0
256,1782050280.4178488,0.0
257,1782050287.3846092,0.0
258,1782050292.4298813,0.0
259,1782050299.7821243,0.0
260,1782050303.9380455,0.0
261,1782050308.0104191,0.0
262,1782050312.579904,0.0
263,1782050316.3675587,0.0
264,1782050324.9933624,0.0
265,1782050327.4900625,0.0
266,1782050332.6485941,0.0
267,1782050337.7799659,0.0
268,1782050341.206261,0.0
269,1782050349.3905556,0.0
270,1782050360.3297794,0.0
271,1782050365.4645448,0.0
272,1782050368.7148867,0.0
273,1782050372.9273293,0.0
274,1782050376.7855146,0.0
275,1782050387.882304,0.0
276,1782050397.2691312,0.0
277,1782050402.6146328,0.0
278,1782050405.8530354,0.0
279,1782050412.415114,0.0
280,1782050415.809194,0.0
281,1782050424.5923927,0.0
282,1782050428.9524546,0.0
283,1782050432.6782377,0.0
284,1782050439.455384,0.0
285,1782050443.5332496,0.0
286,1782050450.3438995,0.0
287,1782050454.5892122,0.0
288,1782050458.1486018,0.0
289,1782050464.0580208,0.0
290,1782050467.8030329,0.0
291,1782050471.5408828,0.0
292,1782050476.9684129,0.0
293,1782050479.245897,0.0
294,1782050485.6105094,0.0
