step,wall_time,value
0,1782007312.4570117,0.0
1,1782007316.275779,0.0
2,1782007321.2113078,0.0
3,1782007324.718577,0.0
4,1782007329.8113613,0.0
5,1782007337.9222264,0.0
6,1782007342.067502,0.0
7,1782007347.8443148,0.0
8,1782007353.170563,0.0
9,1782007356.566989,0.0
10,1782007360.3209877,0.0
11,1782007365.9696217,0.0
12,1782007372.5687928,0.0
13,1782007378.7912211,0.0
14,1782007382.9697442,0.0
15,1782007386.5366635,0.0
16,1782007392.4890254,0.0
17,1782007397.6670907,0.0
18,1782007402.7522888,0.0
19,1782007410.1323998,0.0
20,1782007413.9051905,0.0
21,1782007417.4935815,0.0
22,1782007426.4495027,0.0
23,1782007430.4080658,0.0
24,1782007440.0322347,0.0
25,1782007443.8399904,0.0
26,1782007449.1406615,0.0
27,1782007460.3392787,0.0
28,1782007470.8523045,0.0
29,1782007474.2882562,0.0
30,1782007485.6313732,0.0
31,1782007494.4102519,0.0
32,1782007499.6713753,0.0
33,1782007503.106262,0.0
34,1782007506.7639139,0.0
35,1782007510.344539,0.0
36,1782007514.3538756,0.0
37,1782007519.2716906,0.0
38,1782007522.4709773,0.0
39,1782007530.309635,0.0
40,1782007533.6160033,0.0
41,1782007543.3530438,0.0
42,1782007561.2369554,0.0
43,1782007567.4720464,0.0
44,1782007571.8099694,0.0
45,1782007575.998608,0.0
46,1782007578.6136045,0.0
47,1782007583.2154746,0.0
48,1782007586.8702915,0.0
49,1782007590.4257562,0.0
50,1782007596.7969017,0.0
51,1782007602.2046838,0.0
52,1782007607.4002197,0.0
53,1782007613.068641,0.0
54,1782007618.2406805,0.0
55,1782007625.0766652,0.0
56,1782007630.707325,0.0
57,1782007635.1829548,0.0
58,1782007643.2696002,0.0
59,1782007645.7607415,0.0
60,1782007651.4663188,0.0
61,1782007657.2646093,0.0
62,1782007660.4708662,0.0
63,1782007663.9426746,0.0
64,1782007669.8296912,0.0
65,1782007673.0019314,0.0
66,1782007676.746289,0.0
67,1782007681.8096836,0.0
68,1782007685.7297149,0.0
69,1782007689.468336,0.0
70,1782007693.2885177,0.0
71,1782007697.3426652,0.0
72,1782007701.255169,0.0
73,1782007704.9045627,0.0
74,1782007707.5727534,0.0
75,1782007710.725004,0.0
76,1782007714.5779788,0.0
77,1782007718.451656,0.0
78,1782007720.975814,0.0
79,1782007725.0804427,0.0
80,1782007729.4135504,0.0
81,1782007732.0772724,0.0
82,1782007738.876373,0.0
83,1782007742.3423197,0.0
84,1782007746.5694702,0.0
85,1782007748.97731,0.0
86,1782007760.1324458,0.0
87,1782007763.729404,0.0
88,1782007775.5643456,0.0
89,1782007778.308356,0.0
90,1782007792.3827798,0.0
91,1782007796.241621,0.0
92,1782007799.8664875,0.0
93,1782007802.6600788,0.0
94,1782007809.0408373,0.0
95,1782007812.5010068,0.0
96,1782007816.3221653,0.0
97,1782007821.332271,0.0
98,1782007824.8430123,0.0
99,1782007828.057389,0.0
100,1782007832.6861775,0.0
101,1782007840.0763977,0.0
102,1782007844.8861747,0.0
103,1782007848.940737,0.0
104,1782007853.0206583,0.0
105,1782007857.1972034,0.0
106,1782007862.716639,0.0
107,1782007866.7624173,0.0
108,1782007870.014221,0.0
109,1782007875.2192473,0.0
110,1782007877.390862,0.0
111,1782007881.4310122,0.0
112,1782007886.1258037,0.0
113,1782007889.4643633,0.0
114,1782007893.2012548,0.0
115,1782007898.752492,0.0
116,1782007902.7319353,0.0
117,1782007911.582591,0.0
118,1782007917.093081,0.0
119,1782007928.112326,0.0
120,1782007932.9164946,0.0
121,1782007936.8992562,0.0
122,1782007946.402267,0.0
123,1782007953.7442377,0.0
124,1782007957.215839,0.0
125,1782007962.3699603,0.0
126,1782007966.9248736,0.0
127,1782007971.936198,0.0
128,1782007975.6079493,0.0
129,1782007985.763609,0.0
130,1782007995.2142313,0.0
131,1782007998.6191225,0.0
132,1782008001.1283367,0.0
133,1782008005.419535,0.0
134,1782008014.4214258,0.0
135,1782008018.090134,0.0
136,1782008022.1976337,0.0
137,1782008026.889239,0.0
138,1782008032.400111,0.0
139,1782008034.7784264,0.0
140,1782008040.62863,0.0
141,1782008044.9187615,0.0
142,1782008057.302562,0.0
143,1782008059.8730767,0.0
144,1782008062.5215867,0.0
145,1782008067.616111,0.0
146,1782008071.6271012,0.0
147,1782008075.4192681,0.0
148,1782008078.5159123,0.0
149,1782008084.324701,0.0
150,1782008089.2151988,0.0
151,1782008092.0251043,0.0
152,1782008102.712521,0.0
153,1782008110.8320532,0.0
154,1782008115.763121,0.0
155,1782008120.0124063,0.0
156,1782008125.078514,0.0
157,1782008134.1723456,0.0
158,1782008138.0701962,0.0
159,1782008142.5091813,0.0
160,1782008148.4288456,0.0
161,1782008153.9983656,0.0
162,1782008156.4421344,0.0
163,1782008161.5521502,0.0
164,1782008163.9969215,0.0
165,1782008171.0934794,0.0
166,1782008174.3235059,0.0
167,1782008178.65504,0.0
168,1782008182.2745256,0.0
169,1782008185.8296213,0.0
170,1782008191.9780111,0.0
171,1782008194.9542727,0.0
172,1782008197.7452998,0.0
173,1782008206.1194496,0.0
174,1782008212.213662,0.0
175,1782008219.0742228,0.0
176,1782008222.6802392,0.0
177,1782008226.7109005,0.0
178,1782008232.9259658,0.0
179,1782008237.3503377,0.0
180,1782008249.9496644,0.0
181,1782008254.3058484,0.0
182,1782008260.2933893,0.0
183,1782008264.379427,0.0
184,1782008270.0020933,0.0
185,1782008278.5559032,0.0
186,1782008290.6810498,0.0
187,1782008293.322484,0.0
188,1782008299.6575525,0.0
189,1782008304.522554,0.0
190,1782008309.6700518,0.0
191,1782008313.3082967,0.0
192,1782008324.0154474,0.0
193,1782008327.9294183,0.0
194,1782008332.8109603,0.0
195,1782008336.7275574,0.0
196,1782008339.9835725,0.0
197,1782008345.9643698,0.0
198,1782008355.1562605,0.0
199,1782008369.0175793,0.0
200,1782008373.2611537,0.0
201,1782008383.2043428,0.0
202,1782008386.9000485,0.0
203,1782008392.6133878,0.0
204,1782008395.4148521,0.0
205,1782008402.7602465,0.0
206,1782008407.6169927,0.0
207,1782008412.9683914,0.0
208,1782008416.042416,0.0
209,1782008422.3579044,0.0
210,1782008425.4540477,0.0
211,1782008432.3792741,0.0
212,1782008438.3542101,0.0
213,1782008444.8638108,0.0
214,1782008449.9707377,0.0
215,1782008454.0327034,0.0
216,1782008458.446667,0.0
217,1782008462.0752532,0.0
218,1782008466.075149,0.0
219,1782008471.4777927,0.0
220,1782008477.6154048,0.0
221,1782008481.8932617,0.0
222,1782008485.7240143,0.0
223,1782008493.9687374,0.0
224,1782008499.6228266,0.0
225,1782008519.9705381,0.0
226,1782008522.7003264,0.0
227,1782008527.2705393,0.0
228,1782008530.19773,0.0
229,1782008533.775683,0.0
230,1782008540.1824331,0.0
231,1782008544.8046758,0.0
232,1782008549.4244819,0.0
233,1782008553.4518917,0.0
234,1782008559.0160153,0.0
235,1782008564.5367932,0.0
236,1782008570.202833,0.0
237,1782008575.2478027,0.0
238,1782008584.2144454,0.0
239,1782008588.0479987,0.0
240,1782008596.1320202,0.0
241,1782008602.2277997,0.0
242,1782008607.308978,0.0
243,1782008609.7564762,0.0
244,1782008630.8019755,0.0
245,1782008640.0586176,0.0
246,1782008652.1799998,0.0
247,1782008655.460051,0.0
248,1782008659.4125402,0.0
249,1782008662.6680758,0.0
250,1782008666.6968274,0.0
251,1782008672.4727724,0.0
252,1782008682.2282856,0.0
253,1782008691.5011826,0.0
254,1782008695.2952807,0.0
255,1782008700.9815562,0.0
256,1782008703.4464126,0.0
257,1782008706.3034632,0.0
258,1782008713.7675178,0.0
259,1782008718.0332935,0.0
260,1782008721.5459626,0.0
261,1782008725.1435568,0.0
262,1782008731.6231945,0.0
263,1782008734.16958,0.0
264,1782008737.864039,0.0
265,1782008746.3822591,0.0
266,1782008758.848597,0.0
267,1782008761.5988705,0.0
268,1782008765.1550364,0.0
269,1782008770.260625,0.0
270,1782008776.0932875,0.0
271,1782008781.5060546,0.0
272,1782008788.3948638,0.0
273,1782008793.9284532,0.0
274,1782008796.7273936,0.0
275,1782008802.6160388,0.0
276,1782008809.0278318,0.0
277,1782008814.066089,0.0
278,1782008818.0580733,0.0
279,1782008823.776549,0.0
280,1782008830.021182,0.0
281,1782008835.755238,0.0
282,1782008840.2856436,0.0
283,1782008843.268152,0.0
284,1782008846.7310572,0.0
285,1782008853.3063695,0.0
286,1782008857.6118388,0.0
287,1782008861.7255843,0.0
288,1782008866.9211562,0.0
289,1782008872.2624235,0.0
290,1782008876.9888837,0.0
291,1782008881.4192812,0.0
292,1782008889.8533943,0.0
293,1782008895.831618,0.0
294,1782008900.8591976,0.0
295,1782008912.993231,0.0
296,1782008921.1275606,0.0
297,1782008925.9331164,0.0
298,1782008931.4168224,0.0
299,1782008935.7879932,0.0
300,1782008940.22541,0.0
301,1782008944.7667065,0.0
302,1782008948.357098,0.0
303,1782008958.7920055,0.0
304,1782008967.1800423,0.0
305,1782008970.4456725,0.0
306,1782008980.898345,0.0
307,1782008991.4268873,0.0
308,1782008998.2674327,0.0
309,1782009003.8304389,0.0
310,1782009008.966867,0.0
311,1782009016.415563,0.0
312,1782009020.193435,0.0
313,1782009023.5178034,0.0
314,1782009026.4253626,0.0
315,1782009033.8575857,0.0
316,1782009038.013543,0.0
