step,wall_time,value
0,1780540443.3859649,0.0
1,1780540451.292988,0.0
2,1780540455.5993154,0.0
3,1780540460.3641403,0.0
4,1780540466.8486483,0.0
5,1780540470.3117273,0.0
6,1780540479.5853798,0.0
7,1780540485.0033336,0.0
8,1780540495.574545,0.0
9,1780540499.5789027,0.0
10,1780540503.5341456,0.0
11,1780540506.7681053,0.0
12,1780540512.5903273,0.0
13,1780540516.9917545,0.0
14,1780540523.485738,0.0
15,1780540526.9294572,0.0
16,1780540532.3189557,0.0
17,1780540539.8876586,0.0
18,1780540543.7289112,0.0
19,1780540547.613455,0.0
20,1780540550.865466,0.0
21,1780540554.478143,0.0
22,1780540560.778302,0.0
23,1780540576.2822478,0.0
24,1780540579.9906962,0.0
25,1780540582.487013,0.0
26,1780540585.9471052,0.0
27,1780540590.9581916,0.0
28,1780540596.3480282,0.0
29,1780540603.2042406,0.0
30,1780540606.0577085,0.0
31,1780540608.43233,0.0
32,1780540611.7569087,0.0
33,1780540615.6415012,0.0
34,1780540619.694109,0.0
35,1780540623.614431,0.0
36,1780540630.3970985,0.0
37,1780540634.2440207,0.0
38,1780540640.4550438,0.0
39,1780540647.100737,0.0
40,1780540650.7784555,0.0
41,1780540659.15288,0.0
42,1780540669.7029772,0.0
43,1780540674.7876046,0.0
44,1780540678.2123518,0.0
45,1780540683.8440168,0.0
46,1780540687.6332347,0.0
47,1780540690.928839,0.0
48,1780540695.099942,0.0
49,1780540698.6401126,0.0
50,1780540706.8972735,0.0
51,1780540710.104808,0.0
52,1780540713.8754077,0.0
53,1780540716.2711806,0.0
54,1780540719.2232573,0.0
55,1780540722.6331952,0.0
56,1780540725.9544015,0.0
57,1780540729.4324307,0.0
58,1780540733.2831478,0.0
59,1780540736.6347346,0.0
60,1780540743.0521073,0.0
61,1780540749.6251721,0.0
62,1780540759.5877912,0.0
63,1780540767.1668475,0.0
64,1780540772.6344864,0.0
65,1780540776.7134848,0.0
66,1780540781.7858775,0.0
67,1780540787.0937986,0.0
68,1780540791.949692,0.0
69,1780540797.5306568,0.0
70,1780540801.03292,0.0
71,1780540811.4149952,0.0
72,1780540815.8792307,0.0
73,1780540819.4513433,0.0
74,1780540832.4429185,0.0
75,1780540838.6520698,0.0
76,1780540845.4535422,0.0
77,1780540850.6657512,0.0
78,1780540854.0310562,0.0
79,1780540856.8353648,0.0
80,1780540860.1687875,0.0
81,1780540866.301997,0.0
82,1780540871.5877194,0.0
83,1780540876.634029,0.0
84,1780540880.2698472,0.0
85,1780540883.2652254,0.0
86,1780540886.70727,0.0
87,1780540889.494399,0.0
88,1780540892.7262602,0.0
89,1780540899.5837843,0.0
90,1780540904.93944,0.0
91,1780540909.6164207,0.0
92,1780540917.2947738,0.0
93,1780540921.082888,0.0
94,1780540924.8153775,0.0
95,1780540931.1511195,0.0
96,1780540938.0346923,0.0
97,1780540941.003742,0.0
98,1780540945.0189683,0.0
99,1780540948.2631316,0.0
100,1780540951.6375551,0.0
101,1780540956.97605,0.0
102,1780540964.4029963,0.0
103,1780540975.341942,0.0
104,1780540979.1446176,0.0
105,1780540983.3938227,0.0
106,1780540989.0872045,0.0
107,1780540991.904705,0.0
108,1780540996.281284,0.0
109,1780541012.181744,0.0
110,1780541016.5535727,0.0
111,1780541025.3858545,0.0
112,1780541031.7032146,0.0
113,1780541038.5373352,0.0
114,1780541042.379922,0.0
115,1780541045.603831,0.0
116,1780541051.2854486,0.0
117,1780541056.6600332,0.0
118,1780541059.5060885,0.0
119,1780541062.384543,0.0
120,1780541067.5324304,0.0
121,1780541072.538884,0.0
122,1780541081.3997447,0.0
123,1780541086.0884452,0.0
124,1780541092.2394946,0.0
125,1780541095.4138744,0.0
126,1780541098.7319388,0.0
127,1780541103.3321385,0.0
128,1780541106.9858162,0.0
129,1780541113.1538694,0.0
130,1780541117.2527888,0.0
131,1780541122.3507376,0.0
132,1780541126.834624,0.0
133,1780541130.7820337,0.0
134,1780541136.1802552,0.0
135,1780541139.5497284,0.0
136,1780541144.213921,0.0
137,1780541153.6574774,0.0
138,1780541157.4470594,0.0
139,1780541161.8285632,0.0
140,1780541168.0535355,0.0
141,1780541171.700502,0.0
142,1780541181.3273103,0.0
143,1780541186.3293781,0.0
144,1780541189.4744978,0.0
145,1780541197.2384546,0.0
146,1780541203.5006914,0.0
147,1780541209.887181,0.0
148,1780541216.4339716,0.0
149,1780541219.7180917,0.0
150,1780541222.1607592,0.0
151,1780541224.7572844,0.0
152,1780541229.462576,0.0
153,1780541234.6385126,0.0
154,1780541240.7120829,0.0
155,1780541245.6443505,0.0
156,1780541248.0046482,0.0
157,1780541253.191888,0.0
158,1780541256.947715,0.0
159,1780541260.231455,0.0
160,1780541265.8987134,0.0
161,1780541272.8361046,0.0
162,1780541278.9132292,0.0
163,1780541285.8308535,0.0
164,1780541289.6460054,0.0
165,1780541293.4057405,0.0
166,1780541301.1577806,0.0
167,1780541304.5209749,0.0
168,1780541310.864208,0.0
169,1780541314.7348373,0.0
170,1780541321.6777632,0.0
171,1780541327.2696884,0.0
172,1780541331.1030896,0.0
173,1780541334.4195974,0.0
174,1780541338.109673,0.0
175,1780541341.033066,0.0
176,1780541343.0961595,0.0
177,1780541347.1972103,0.0
178,1780541349.6845617,0.0
179,1780541357.3313816,0.0
180,1780541363.8001773,0.0
181,1780541372.861205,0.0
182,1780541375.661572,0.0
183,1780541378.2529285,0.0
184,1780541380.4121218,0.0
185,1780541385.068661,0.0
186,1780541390.115111,0.0
187,1780541393.800895,0.0
188,1780541398.2150156,0.0
189,1780541401.6021664,0.0
190,1780541406.382,0.0
191,1780541410.5886745,0.0
192,1780541413.8309643,0.0
193,1780541418.5003319,0.0
194,1780541422.7697644,0.0
195,1780541428.1178195,0.0
196,1780541431.7225864,0.0
197,1780541438.94927,0.0
198,1780541442.2460904,0.0
199,1780541445.3575594,0.0
200,1780541451.251855,0.0
201,1780541455.8942196,0.0
202,1780541459.7810144,0.0
203,1780541463.3041651,0.0
204,1780541466.0423448,0.0
205,1780541469.72206,0.0
206,1780541472.6676722,0.0
207,1780541477.2542777,0.0
208,1780541481.9593923,0.0
209,1780541485.152103,0.0
210,1780541494.7333605,0.0
211,1780541498.7539022,0.0
212,1780541504.5171382,0.0
213,1780541519.6048346,0.0
214,1780541522.8680093,0.0
215,1780541525.1663723,0.0
216,1780541529.8319583,0.0
217,1780541534.647211,0.0
218,1780541539.2475662,0.0
219,1780541550.9787757,0.0
220,1780541554.4749715,0.0
221,1780541562.0367823,0.0
222,1780541564.9648852,0.0
223,1780541567.6903367,0.0
224,1780541570.0173993,0.0
225,1780541572.3307576,0.0
226,1780541576.6257012,0.0
227,1780541584.8586352,0.0
228,1780541587.778975,0.0
229,1780541592.371989,0.0
230,1780541595.722813,0.0
231,1780541605.656008,0.0
232,1780541610.831673,0.0
233,1780541617.6784685,0.0
234,1780541624.3322058,0.0
235,1780541628.1414654,0.0
236,1780541634.9306493,0.0
237,1780541638.900328,0.0
238,1780541641.715965,0.0
239,1780541645.4982338,0.0
240,1780541650.7841055,0.0
241,1780541655.4394302,0.0
242,1780541660.0375824,0.0
243,1780541666.654255,0.0
244,1780541675.3420815,0.0
