step,wall_time,value
0,1782049025.5310278,0.0
1,1782049028.6939902,0.0
2,1782049033.6810126,0.0
3,1782049039.7643957,0.0
4,1782049044.5694487,0.0
5,1782049049.9873574,0.0
6,1782049053.7555046,0.0
7,1782049056.1298273,0.0
8,1782049064.9062788,0.0
9,1782049069.9806056,0.0
10,1782049073.5290585,0.0
11,1782049076.95507,0.0
12,1782049080.5189903,0.0
13,1782049085.9303052,0.0
14,1782049089.4508507,0.0
15,1782049092.4838145,0.0
16,1782049095.0646505,0.0
17,1782049099.404256,0.0
18,1782049106.0208187,0.0
19,1782049112.1662617,0.0
20,1782049117.6206768,0.0
21,1782049121.2900414,0.0
22,1782049123.6147316,0.0
23,1782049126.5665755,0.0
24,1782049130.4199207,0.0
25,1782049133.693482,0.0
26,1782049138.1703095,0.0
27,1782049142.2738643,0.0
28,1782049147.1859248,0.0
29,1782049150.4845839,0.0
30,1782049155.1981683,0.0
31,1782049160.6179106,0.0
32,1782049163.1541078,0.0
33,1782049165.9290838,0.0
34,1782049172.4813678,0.0
35,1782049177.0213768,0.0
36,1782049180.2542598,0.0
37,1782049182.4945145,0.0
38,1782049192.015601,0.0
39,1782049199.9773884,0.0
40,1782049206.2937653,0.0
41,1782049209.6105196,0.0
42,1782049214.8704286,0.0
43,1782049218.451032,0.0
44,1782049226.6372337,0.0
45,1782049230.0855718,0.0
46,1782049232.7794046,0.0
47,1782049235.2049968,0.0
48,1782049240.082788,0.0
49,1782049243.3991368,0.0
50,1782049250.2188354,0.0
51,1782049256.257216,0.0
52,1782049261.7810988,0.0
53,1782049271.2316127,0.0
54,1782049274.0109377,0.0
55,1782049279.0682611,0.0
56,1782049283.5666218,0.0
57,1782049289.0867689,0.0
58,1782049293.4845455,0.0
59,1782049298.689726,0.0
60,1782049305.0549586,0.0
61,1782049308.2270207,0.0
62,1782049314.3490863,0.0
63,1782049317.8650115,0.0
64,1782049321.1878614,0.0
65,1782049326.9897065,0.0
66,1782049330.6038458,0.0
67,1782049335.183735,0.0
68,1782049338.939735,0.0
69,1782049342.7163517,0.0
70,1782049349.1470013,0.0
71,1782049352.7249568,0.0
72,1782049356.196584,0.0
73,1782049360.5402677,0.0
74,1782049364.0196915,0.0
75,1782049369.060301,0.0
76,1782049372.5299208,0.0
77,1782049375.3566186,0.0
78,1782049378.8538234,0.0
79,1782049382.639998,0.0
80,1782049386.510076,0.0
81,1782049392.5015557,0.0
82,1782049401.8526444,0.0
83,1782049409.5212805,0.0
84,1782049414.8811395,0.0
85,1782049422.8468494,0.0
86,1782049427.6904006,0.0
87,1782049435.901639,0.0
88,1782049440.3361278,0.0
89,1782049446.0671504,0.0
90,1782049452.6876414,0.0
91,1782049455.273611,0.0
92,1782049457.5174894,0.0
93,1782049461.0571706,0.0
94,1782049465.9707453,0.0
95,1782049468.4327002,0.0
96,1782049472.943344,0.0
97,1782049479.086602,0.0
98,1782049482.8619823,0.0
99,1782049485.6683714,0.0
100,1782049493.5812647,0.0
101,1782049497.5983057,0.0
102,1782049501.6497436,0.0
103,1782049505.138518,0.0
104,1782049509.715582,0.0
105,1782049512.7270215,0.0
106,1782049518.8786578,0.0
107,1782049522.0837994,0.0
108,1782049524.843838,0.0
109,1782049537.6202884,0.0
110,1782049544.0156467,0.0
111,1782049547.7544394,0.0
112,1782049554.161939,0.0
113,1782049556.9931514,0.0
114,1782049564.6271188,0.0
115,1782049572.44465,0.0
116,1782049581.625223,0.0
117,1782049584.6846414,0.0
118,1782049593.3218837,0.0
119,1782049597.2816079,0.0
120,1782049600.8114467,0.0
121,1782049604.4458282,0.0
122,1782049609.3047824,0.0
123,1782049613.784457,0.0
124,1782049622.5036786,0.0
125,1782049629.7476661,0.0
126,1782049635.0460222,0.0
127,1782049640.756864,0.0
128,1782049649.1803682,0.0
129,1782049654.761796,0.0
130,1782049669.6535728,0.0
131,1782049673.1666617,0.0
132,1782049678.0935655,0.0
133,1782049681.2773297,0.0
134,1782049684.3627646,0.0
135,1782049688.4640334,0.0
136,1782049693.6377704,0.0
137,1782049697.0628994,0.0
138,1782049701.9814267,0.0
139,1782049704.2832546,0.0
140,1782049706.7286108,0.0
141,1782049710.6649585,0.0
142,1782049718.0776813,0.0
143,1782049722.6954,0.0
144,1782049729.8593895,0.0
145,1782049735.505727,0.0
146,1782049739.2263744,0.0
147,1782049745.403005,0.0
148,1782049747.7931206,0.0
149,1782049750.8697488,0.0
150,1782049754.6465166,0.0
151,1782049759.7539392,0.0
152,1782049763.5790198,0.0
153,1782049770.9427447,0.0
154,1782049775.4679942,0.0
155,1782049782.8025224,0.0
156,1782049786.5764222,0.0
157,1782049790.033607,0.0
158,1782049796.2190707,0.0
159,1782049799.760281,0.0
160,1782049803.0431194,0.0
161,1782049806.7648313,0.0
162,1782049809.5421965,0.0
163,1782049818.0925765,0.0
164,1782049820.346896,0.0
165,1782049825.3073967,0.0
166,1782049828.6848097,0.0
167,1782049831.5546453,0.0
168,1782049837.2335372,0.0
169,1782049839.5837235,0.0
170,1782049847.9537725,0.0
171,1782049851.6292522,0.0
172,1782049855.3427749,0.0
173,1782049858.7050824,0.0
174,1782049862.397464,0.0
175,1782049870.125181,0.0
176,1782049874.0915096,0.0
177,1782049876.690101,0.0
178,1782049881.471362,0.0
179,1782049885.4076118,0.0
180,1782049889.3895798,0.0
181,1782049893.242215,0.0
182,1782049897.7533336,0.0
183,1782049900.8301878,0.0
184,1782049905.0705955,0.0
185,1782049907.485132,0.0
186,1782049909.6254737,0.0
187,1782049912.9340954,0.0
188,1782049918.130975,0.0
189,1782049923.7260585,0.0
