step,wall_time,value
0,1782872786.500563,0.0
1,1782872790.5684013,0.0
2,1782872794.8179066,0.0
3,1782872799.982275,0.0
4,1782872814.5317936,0.0
5,1782872818.4531226,0.0
6,1782872825.5292087,0.0
7,1782872833.4045312,0.0
8,1782872837.0998967,0.0
9,1782872842.8856375,0.0
10,1782872849.6089792,0.0
11,1782872853.4428778,0.0
12,1782872858.5559933,0.0
13,1782872864.8570907,0.0
14,1782872868.8337145,0.0
15,1782872879.0550654,0.0
16,1782872881.784989,0.0
17,1782872889.802473,0.0
18,1782872892.7550387,0.0
19,1782872896.0572343,0.0
20,1782872903.243492,0.0
21,1782872908.5020957,0.0
22,1782872911.5363982,0.0
23,1782872914.5553834,0.0
24,1782872920.8088944,0.0
25,1782872924.561882,0.0
26,1782872927.9335399,0.0
27,1782872932.0886898,0.0
28,1782872936.125632,0.0
29,1782872939.3984118,0.0
30,1782872944.8046792,0.0
31,1782872952.7068005,0.0
32,1782872958.3408737,0.0
33,1782872967.34154,0.0
34,1782872969.532852,0.0
35,1782872976.0985086,0.0
36,1782872981.7463906,0.0
37,1782872988.1132908,0.0
38,1782872991.4993377,0.0
39,1782872996.8897107,0.0
40,1782873000.3008387,0.0
41,1782873003.515715,0.0
42,1782873006.9558208,0.0
43,1782873014.4909391,0.0
44,1782873019.761044,0.0
45,1782873025.0089087,0.0
46,1782873028.6868634,0.0
47,1782873032.285534,0.0
48,1782873040.1040635,0.0
49,1782873042.9016976,0.0
50,1782873048.6941452,0.0
51,1782873052.7818284,0.0
52,1782873060.4717927,0.0
53,1782873064.8372767,0.0
54,1782873070.5816057,0.0
55,1782873077.4892924,0.0
56,1782873085.7785013,0.0
57,1782873090.3468652,0.0
58,1782873095.0529964,0.0
59,1782873103.1695933,0.0
60,1782873107.3587356,0.0
61,1782873111.7494497,0.0
62,1782873116.2653577,0.0
63,1782873119.214041,0.0
64,1782873124.2643716,0.0
65,1782873128.2534373,0.0
66,1782873132.1583285,0.0
67,1782873137.7469106,0.0
68,1782873140.4797328,0.0
69,1782873143.3581467,0.0
70,1782873145.7582355,0.0
71,1782873150.5424368,0.0
72,1782873159.6211958,0.0
73,1782873162.0780632,0.0
74,1782873166.4567587,0.0
75,1782873169.8672533,0.0
76,1782873173.3154862,0.0
77,1782873175.5400524,0.0
78,1782873177.74928,0.0
79,1782873179.9025183,0.0
80,1782873182.9505334,0.0
81,1782873187.8557413,0.0
82,1782873191.7997153,0.0
83,1782873195.4971483,0.0
84,1782873199.2534685,0.0
85,1782873202.7268102,0.0
86,1782873209.5048368,0.0
87,1782873213.8391645,0.0
88,1782873217.3215032,0.0
89,1782873224.8621354,0.0
90,1782873230.333007,0.0
91,1782873233.8558545,0.0
92,1782873244.1033835,0.0
93,1782873247.4530013,0.0
94,1782873253.0536535,0.0
95,1782873255.3448124,0.0
96,1782873259.5572062,0.0
97,1782873271.9181433,0.0
98,1782873277.5212705,0.0
99,1782873279.6517494,0.0
100,1782873284.6037385,0.0
101,1782873291.8073692,0.0
102,1782873295.402036,0.0
103,1782873300.5041718,0.0
104,1782873302.6070492,0.0
105,1782873306.005717,0.0
106,1782873309.0538406,0.0
107,1782873312.4058456,0.0
108,1782873315.6576567,0.0
109,1782873319.1549013,0.0
110,1782873324.2721376,0.0
111,1782873326.746601,0.0
112,1782873331.3741596,0.0
113,1782873335.1205058,0.0
114,1782873339.591029,0.0
115,1782873344.1029272,0.0
116,1782873349.4578223,0.0
117,1782873351.6771667,0.0
118,1782873358.0232427,0.0
119,1782873362.6953096,0.0
120,1782873369.3309531,0.0
121,1782873372.8585956,0.0
122,1782873376.1212301,0.0
123,1782873383.361503,0.0
124,1782873386.3377793,0.0
125,1782873389.5509539,0.0
126,1782873395.2477932,0.0
127,1782873401.8012471,0.0
128,1782873404.2132874,0.0
129,1782873408.5209303,0.0
130,1782873413.9564044,0.0
131,1782873418.3895292,0.0
132,1782873423.9635658,0.0
133,1782873433.7636595,0.0
134,1782873437.444896,0.0
135,1782873441.1773562,0.0
136,1782873443.31269,0.0
137,1782873445.8052108,0.0
138,1782873451.8466618,0.0
139,1782873456.2703931,0.0
140,1782873459.9031198,0.0
141,1782873465.1451972,0.0
142,1782873468.3514016,0.0
143,1782873476.5268955,0.0
144,1782873481.3349497,0.0
145,1782873487.1191952,0.0
146,1782873491.9009368,0.0
147,1782873499.3528602,0.0
148,1782873503.2470906,0.0
149,1782873506.7409685,0.0
150,1782873509.0822532,0.0
151,1782873516.7195523,0.0
152,1782873523.4885504,0.0
153,1782873528.4546394,0.0
154,1782873530.920221,0.0
155,1782873534.1507256,0.0
156,1782873537.3162432,0.0
157,1782873540.6221917,0.0
158,1782873545.7034652,0.0
159,1782873548.2002661,0.0
160,1782873551.6145842,0.0
161,1782873556.4222393,0.0
162,1782873567.4280055,0.0
163,1782873574.6515975,0.0
164,1782873579.4934912,0.0
165,1782873584.5836244,0.0
166,1782873590.2059329,0.0
167,1782873594.554663,0.0
168,1782873599.4562619,0.0
169,1782873609.3110933,0.0
170,1782873613.7188957,0.0
171,1782873617.4007277,0.0
172,1782873622.477704,0.0
173,1782873628.7035935,0.0
174,1782873633.393297,0.0
175,1782873636.5081427,0.0
176,1782873644.3537955,0.0
177,1782873650.652217,0.0
178,1782873652.956438,0.0
179,1782873655.1214628,0.0
180,1782873657.6391728,0.0
181,1782873662.7493832,0.0
182,1782873666.0758986,0.0
183,1782873668.44151,0.0
184,1782873671.3036294,0.0
185,1782873677.4578688,0.0
186,1782873683.4923174,0.0
187,1782873686.6670759,0.0
188,1782873692.1019487,0.0
189,1782873694.8520353,0.0
190,1782873699.0786808,0.0
191,1782873708.2175987,0.0
192,1782873712.7763317,0.0
193,1782873717.7727497,0.0
194,1782873722.4558635,0.0
195,1782873728.2123723,0.0
196,1782873732.294102,0.0
197,1782873734.9508147,0.0
198,1782873737.2961276,0.0
199,1782873740.716126,0.0
200,1782873756.161648,0.0
201,1782873759.3378484,0.0
202,1782873763.1553822,0.0
203,1782873769.2541432,0.0
204,1782873775.9107454,0.0
205,1782873784.781086,0.0
206,1782873790.1577477,0.0
207,1782873794.5510287,0.0
208,1782873802.0510597,0.0
209,1782873806.642846,0.0
210,1782873809.241511,0.0
211,1782873819.0165048,0.0
212,1782873822.0502572,0.0
213,1782873829.0635293,0.0
214,1782873837.2532532,0.0
215,1782873840.6126344,0.0
216,1782873851.3051152,0.0
217,1782873855.3588784,0.0
218,1782873863.5056057,0.0
219,1782873869.0532537,0.0
220,1782873873.6556544,0.0
221,1782873879.9370131,0.0
222,1782873887.555848,0.0
223,1782873893.1524675,0.0
224,1782873897.4425526,0.0
225,1782873901.3924658,0.0
226,1782873906.5357678,0.0
227,1782873909.366387,0.0
228,1782873914.099584,0.0
229,1782873929.3564565,0.0
230,1782873933.3451426,0.0
231,1782873935.922514,0.0
232,1782873938.2250245,0.0
233,1782873950.6008854,0.0
234,1782873954.3314369,0.0
235,1782873957.5102136,0.0
236,1782873961.1635864,0.0
237,1782873965.715625,0.0
238,1782873972.09046,0.0
239,1782873976.840936,0.0
240,1782873980.7226644,0.0
241,1782873985.6159132,0.0
242,1782873989.7388704,0.0
243,1782873993.8784716,0.0
244,1782873998.8007715,0.0
245,1782874001.8227751,0.0
246,1782874004.6299393,0.0
247,1782874010.8501124,0.0
248,1782874014.238066,0.0
249,1782874018.1212194,0.0
250,1782874022.3957012,0.0
251,1782874030.25868,0.0
252,1782874040.0318263,0.0
253,1782874043.2176454,0.0
254,1782874050.841303,0.0
255,1782874056.330301,0.0
256,1782874058.6029475,0.0
257,1782874061.5864718,0.0
258,1782874065.560317,0.0
259,1782874069.124228,0.0
260,1782874072.4503949,0.0
261,1782874077.5356386,0.0
262,1782874082.1030288,0.0
263,1782874086.1303823,0.0
264,1782874095.2339394,0.0
265,1782874098.7625895,0.0
266,1782874102.401663,0.0
267,1782874110.9618754,0.0
268,1782874117.4525447,0.0
269,1782874122.419491,0.0
270,1782874127.1533046,0.0
271,1782874136.459113,0.0
272,1782874139.3899984,0.0
273,1782874145.9621353,0.0
274,1782874149.8979197,0.0
275,1782874155.9013078,0.0
276,1782874159.6132963,0.0
277,1782874168.2007272,0.0
278,1782874173.6516578,0.0
279,1782874176.0876405,0.0
280,1782874179.426896,0.0
281,1782874187.6535192,0.0
282,1782874192.250792,0.0
283,1782874197.3986585,0.0
284,1782874208.6119576,0.0
285,1782874213.7557375,0.0
286,1782874217.9976795,0.0
287,1782874226.2066972,0.0
288,1782874231.7845118,0.0
289,1782874235.2834396,0.0
290,1782874243.0954823,0.0
291,1782874248.040089,0.0
292,1782874251.975404,0.0
293,1782874255.5140874,0.0
294,1782874268.852128,0.0
295,1782874271.3870494,0.0
296,1782874276.6412084,0.0
297,1782874289.7156389,0.0
298,1782874293.5885675,0.0
299,1782874303.5503724,0.0
300,1782874307.5965583,0.0
301,1782874312.8549185,0.0
302,1782874319.94131,0.0
303,1782874324.7379575,0.0
304,1782874330.4056823,0.0
305,1782874335.9676008,0.0
306,1782874345.8105185,0.0
307,1782874349.0280564,0.0
308,1782874352.4554248,0.0
309,1782874357.5694885,0.0
310,1782874364.4890947,0.0
311,1782874368.511487,0.0
312,1782874374.3840666,0.0
313,1782874380.80346,0.0
314,1782874384.3801162,0.0
315,1782874391.4047084,0.0
316,1782874402.5018024,0.0
317,1782874406.3577647,0.0
318,1782874409.9476237,0.0
319,1782874415.4324946,0.0
320,1782874420.9051936,0.0
321,1782874428.6508236,0.0
322,1782874431.3709586,0.0
323,1782874434.64809,0.0
324,1782874439.8067045,0.0
325,1782874443.8125625,0.0
326,1782874447.352786,0.0
327,1782874451.7965927,0.0
328,1782874455.7577739,0.0
329,1782874461.800935,0.0
330,1782874474.0541694,0.0
331,1782874477.2160788,0.0
332,1782874480.9408877,0.0
333,1782874486.4686558,0.0
334,1782874489.6521373,0.0
335,1782874495.7000246,0.0
336,1782874498.7361574,0.0
337,1782874504.9514034,0.0
338,1782874514.0105665,0.0
339,1782874517.2524543,0.0
340,1782874522.1439495,0.0
341,1782874527.0159667,0.0
342,1782874530.4155045,0.0
343,1782874536.447317,0.0
344,1782874541.7503917,0.0
345,1782874549.6095047,0.0
346,1782874557.6008837,0.0
347,1782874562.661827,0.0
348,1782874567.7036185,0.0
349,1782874571.4496436,0.0
350,1782874577.6016335,0.0
351,1782874584.3556926,0.0
352,1782874589.8630266,0.0
353,1782874593.3388562,0.0
354,1782874597.2907643,0.0
355,1782874601.9571884,0.0
356,1782874606.7920687,0.0
357,1782874610.1820886,0.0
358,1782874613.3965626,0.0
359,1782874617.1351545,0.0
360,1782874621.40081,0.0
361,1782874628.044529,0.0
362,1782874632.8575373,0.0
363,1782874638.5978734,0.0
364,1782874642.3540115,0.0
365,1782874647.476709,0.0
366,1782874652.6031501,0.0
367,1782874657.4035494,0.0
368,1782874659.6706,0.0
369,1782874674.6067336,0.0
370,1782874678.2468073,0.0
371,1782874681.4299242,0.0
372,1782874688.5550232,0.0
373,1782874692.0760903,0.0
374,1782874698.1154344,0.0
375,1782874706.3045998,0.0
376,1782874714.20515,0.0
377,1782874716.6007478,0.0
378,1782874722.3851063,0.0
379,1782874727.2841318,0.0
380,1782874740.5524387,0.0
381,1782874744.7861814,0.0
382,1782874748.4410236,0.0
383,1782874752.8581402,0.0
384,1782874755.0327947,0.0
385,1782874764.1534817,0.0
386,1782874773.1868615,0.0
387,1782874777.1137793,0.0
388,1782874785.9010496,0.0
389,1782874789.8510337,0.0
390,1782874793.498821,0.0
391,1782874799.100238,0.0
392,1782874804.087008,0.0
393,1782874807.6365883,0.0
394,1782874811.6121206,0.0
395,1782874820.4034467,0.0
396,1782874824.5990655,0.0
397,1782874837.9053516,0.0
398,1782874842.8321292,0.0
399,1782874847.9336503,0.0
400,1782874851.4965293,0.0
401,1782874854.6379695,0.0
402,1782874858.1131637,0.0
403,1782874866.6581516,0.0
404,1782874870.5494962,0.0
405,1782874875.131633,0.0
406,1782874879.0947278,0.0
407,1782874883.6569715,0.0
408,1782874887.6819417,0.0
409,1782874891.299575,0.0
410,1782874895.2154913,0.0
