step,wall_time,value
0,1782007312.457441,0.0
1,1782007316.27616,0.0
2,1782007321.2121205,0.0
3,1782007324.7242763,0.0
4,1782007329.8169088,0.0
5,1782007337.9227571,0.0
6,1782007342.0680525,0.0
7,1782007347.8451073,0.0
8,1782007353.1712449,0.0
9,1782007356.567663,0.0
10,1782007360.3215756,0.0
11,1782007365.9701688,0.0
12,1782007372.5692794,0.0
13,1782007378.7916124,0.0
14,1782007382.9703827,0.0
15,1782007386.5372667,0.0
16,1782007392.4895911,0.0
17,1782007397.6677172,0.0
18,1782007402.757832,0.0
19,1782007410.1330698,0.0
20,1782007413.9057543,0.0
21,1782007417.4943445,0.0
22,1782007426.4501286,0.0
23,1782007430.4086027,0.0
24,1782007440.0329728,0.0
25,1782007443.8406641,0.0
26,1782007449.141212,0.0
27,1782007460.3399403,0.0
28,1782007470.8528247,0.0
29,1782007474.288925,0.0
30,1782007485.6320434,0.0
31,1782007494.4109125,0.0
32,1782007499.6719003,0.0
33,1782007503.1075623,0.0
34,1782007506.7645326,0.0
35,1782007510.3504097,0.0
36,1782007514.3544135,0.0
37,1782007519.2724135,0.0
38,1782007522.4723551,0.0
39,1782007530.3101697,0.0
40,1782007533.6167107,0.0
41,1782007543.3536208,0.0
42,1782007561.2375724,0.0
43,1782007567.4741788,0.0
44,1782007571.8106585,0.0
45,1782007575.9992213,0.0
46,1782007578.6142423,0.0
47,1782007583.2158847,0.0
48,1782007586.8710048,0.0
49,1782007590.426393,0.0
50,1782007596.7974508,0.0
51,1782007602.205335,0.0
52,1782007607.400717,0.0
53,1782007613.069116,0.0
54,1782007618.241225,0.0
55,1782007625.0772107,0.0
56,1782007630.7079368,0.0
57,1782007635.1835349,0.0
58,1782007643.270298,0.0
59,1782007645.7614079,0.0
60,1782007651.4671252,0.0
61,1782007657.265067,0.0
62,1782007660.47146,0.0
63,1782007663.9434364,0.0
64,1782007669.8303409,0.0
65,1782007673.003127,0.0
66,1782007676.7469664,0.0
67,1782007681.8113275,0.0
68,1782007685.730363,0.0
69,1782007689.468859,0.0
70,1782007693.2892165,0.0
71,1782007697.3433683,0.0
72,1782007701.2557764,0.0
73,1782007704.905042,0.0
74,1782007707.5735252,0.0
75,1782007710.7255445,0.0
76,1782007714.5790455,0.0
77,1782007718.4521892,0.0
78,1782007720.9765725,0.0
79,1782007725.0809803,0.0
80,1782007729.4140244,0.0
81,1782007732.0778883,0.0
82,1782007738.8768458,0.0
83,1782007742.3428934,0.0
84,1782007746.569893,0.0
85,1782007748.97788,0.0
86,1782007760.1331036,0.0
87,1782007763.7302558,0.0
88,1782007775.564987,0.0
89,1782007778.3089156,0.0
90,1782007792.3835726,0.0
91,1782007796.2422612,0.0
92,1782007799.8684301,0.0
93,1782007802.6606584,0.0
94,1782007809.0430317,0.0
95,1782007812.5016742,0.0
96,1782007816.3227854,0.0
97,1782007821.3329182,0.0
98,1782007824.84371,0.0
99,1782007828.057936,0.0
100,1782007832.686833,0.0
101,1782007840.0770638,0.0
102,1782007844.8867006,0.0
103,1782007848.9416907,0.0
104,1782007853.0215812,0.0
105,1782007857.1979485,0.0
106,1782007862.717137,0.0
107,1782007866.7628942,0.0
108,1782007870.0147893,0.0
