step,wall_time,value
0,1782781154.4932675,0.0
1,1782781158.2483249,0.0
2,1782781163.5272317,0.0
3,1782781172.0635366,0.0
4,1782781177.1116488,0.0
5,1782781180.8938186,0.0
6,1782781185.142151,0.0
7,1782781189.4021275,0.0
8,1782781193.396699,0.0
10,1782781203.6468797,0.0
12,1782781210.939603,0.0
13,1782781219.1503048,0.0
14,1782781222.7422042,0.0
15,1782781228.4874122,0.0
16,1782781240.9633183,0.0
17,1782781245.1592307,0.0
18,1782781252.981166,0.0
19,1782781256.387202,0.0
20,1782781261.192068,0.0
21,1782781264.8588662,0.0
22,1782781272.7078092,0.0
23,1782781276.5785437,0.0
24,1782781283.3071945,0.0
25,1782781288.5594084,0.0
26,1782781292.3376613,0.0
27,1782781295.252295,0.0
28,1782781303.4936562,0.0
29,1782781306.2399163,0.0
30,1782781309.7096016,0.0
31,1782781314.6070085,0.0
32,1782781317.9612706,0.0
33,1782781325.2669787,0.0
34,1782781328.1383536,0.0
35,1782781338.179174,0.0
36,1782781342.5597377,0.0
37,1782781346.8220098,0.0
38,1782781351.2593515,0.0
39,1782781356.5502748,0.0
40,1782781359.6664202,0.0
41,1782781362.7109647,0.0
42,1782781366.8444912,0.0
43,1782781370.7512329,0.0
44,1782781374.6074474,0.0
46,1782781382.537025,0.0
47,1782781385.060502,0.0
48,1782781388.8613393,0.0
49,1782781392.492788,0.0
50,1782781399.7942448,0.0
52,1782781410.1248198,0.0
53,1782781413.0078661,0.0
54,1782781417.1758409,0.0
55,1782781420.5403957,0.0
56,1782781426.0864499,0.0
57,1782781437.4985008,0.0
58,1782781446.2260013,0.0
59,1782781451.7514176,0.0
61,1782781466.9184341,0.0
62,1782781470.0457788,0.0
63,1782781477.8547492,0.0
64,1782781481.1160607,0.0
65,1782781484.9889524,0.0
66,1782781488.591247,0.0
67,1782781492.247149,0.0
68,1782781496.354144,0.0
69,1782781500.9334452,0.0
70,1782781504.5311453,0.0
71,1782781512.2135234,0.0
72,1782781520.0049033,0.0
73,1782781522.7931998,0.0
74,1782781526.1629393,0.0
75,1782781529.2357216,0.0
76,1782781531.8040197,0.0
77,1782781536.3397977,0.0
78,1782781542.1033185,0.0
80,1782781550.1013522,0.0
81,1782781557.6234255,0.0
82,1782781563.6389298,0.0
83,1782781571.1982899,0.0
84,1782781576.293524,0.0
85,1782781580.7006872,0.0
86,1782781588.2576075,0.0
87,1782781590.4742348,0.0
88,1782781596.117886,0.0
89,1782781600.1146371,0.0
90,1782781604.606213,0.0
91,1782781609.7017195,0.0
92,1782781612.2585688,0.0
93,1782781619.781542,0.0
94,1782781622.4087727,0.0
95,1782781627.7117226,0.0
96,1782781631.1857963,0.0
97,1782781639.3058836,0.0
98,1782781643.3010383,0.0
99,1782781647.4685202,0.0
100,1782781651.0906634,0.0
101,1782781659.092085,0.0
102,1782781663.9196458,0.0
103,1782781666.6701615,0.0
104,1782781674.7552068,0.0
105,1782781684.6680708,0.0
106,1782781687.9832315,0.0
107,1782781692.2344105,0.0
108,1782781697.9519703,0.0
109,1782781701.7816856,0.0
110,1782781707.2343419,0.0
111,1782781711.0330064,0.0
112,1782781712.7607799,0.0
113,1782781715.179807,0.0
114,1782781718.2567828,0.0
115,1782781723.081342,0.0
116,1782781727.342518,0.0
117,1782781730.3785965,0.0
118,1782781732.5913048,0.0
119,1782781736.194019,0.0
120,1782781740.6896935,0.0
121,1782781744.965489,0.0
122,1782781750.250943,0.0
123,1782781752.6929932,0.0
124,1782781755.919674,0.0
125,1782781757.9867082,0.0
126,1782781760.8048725,0.0
127,1782781765.6082978,0.0
128,1782781771.1201804,0.0
129,1782781775.1123843,0.0
130,1782781777.4606683,0.0
131,1782781779.5349972,0.0
132,1782781783.752887,0.0
133,1782781785.050123,0.0
134,1782781790.1286302,0.0
135,1782781791.933737,0.0
136,1782781795.4628196,0.0
137,1782781798.634773,0.0
138,1782781800.0036502,0.0
139,1782781802.0926874,0.0
140,1782781805.9519122,0.0
141,1782781808.6064444,0.0
142,1782781812.7429779,0.0
143,1782781815.3191574,0.0
144,1782781817.4992218,0.0
145,1782781821.4456775,0.0
146,1782781823.2515051,0.0
147,1782781826.5974767,0.0
148,1782781828.7746909,0.0
149,1782781830.2167532,0.0
150,1782781831.7717574,0.0
151,1782781833.5394907,0.0
152,1782781838.4948614,0.0
153,1782781840.3979127,0.0
154,1782781842.6077707,0.0
155,1782781846.0455081,0.0
156,1782781847.8821497,0.0
157,1782781851.9482307,0.0
158,1782781853.876329,0.0
159,1782781857.273595,0.0
160,1782781861.4853764,0.0
161,1782781865.4789891,0.0
162,1782781869.795129,0.0
163,1782781874.349263,0.0
164,1782781877.514661,0.0
165,1782781882.8318048,0.0
166,1782781884.3750439,0.0
167,1782781893.9285588,0.0
168,1782781896.6094415,0.0
169,1782781900.2340121,0.0
170,1782781904.8011904,0.0
171,1782781906.2600846,0.0
172,1782781907.8192542,0.0
173,1782781910.2476032,0.0
174,1782781911.5972757,0.0
175,1782781913.0235581,0.0
176,1782781917.5391817,0.0
177,1782781922.0643587,0.0
178,1782781928.2185457,0.0
179,1782781930.093783,0.0
180,1782781931.8646886,0.0
181,1782781934.0393405,0.0
182,1782781935.6131558,0.0
183,1782781939.9416747,0.0
184,1782781945.1476922,0.0
185,1782781947.1281278,0.0
186,1782781950.287167,0.0
187,1782781955.104985,0.0
188,1782781959.8895733,0.0
189,1782781961.6398003,0.0
190,1782781966.7443297,0.0
191,1782781968.783412,0.0
192,1782781970.6133704,0.0
193,1782781971.981055,0.0
194,1782781976.5977657,0.0
195,1782781979.17856,0.0
196,1782781983.4223752,0.0
197,1782781986.837269,0.0
198,1782781988.748083,0.0
199,1782781991.4958596,0.0
200,1782781993.583044,0.0
201,1782781997.7239883,0.0
